duration, success rate, q[0], q[1], q[2], q[3], q[4], q[5], q[6],q_d[0], q_d[1], q_d[2], q_d[3], q_d[4], q_d[5], q_d[6],dq[0], dq[1], dq[2], dq[3], dq[4], dq[5], dq[6],dq_d[0], dq_d[1], dq_d[2], dq_d[3], dq_d[4], dq_d[5], dq_d[6],tau_J[0], tau_J[1], tau_J[2], tau_J[3], tau_J[4], tau_J[5], tau_J[6],tau_ext_hat_filtered[0], tau_ext_hat_filtered[1], tau_ext_hat_filtered[2], tau_ext_hat_filtered[3], tau_ext_hat_filtered[4], tau_ext_hat_filtered[5], tau_ext_hat_filtered[6]
3242804,0,-1.57092,-0.522881,-0.000474982,-2.09594,-1.57076,1.57154,0.785231,-1.5708,-0.523599,-3.67309e-07,-2.09439,-1.5708,1.5708,0.785397,0.000145034,-0.000729031,0.000290596,-0.000232717,-0.000485708,0.000184992,-0.00123325,0,0,0,0,0,0,0,0.124828,-10.0901,0.757205,21.0431,-0.746748,-0.592137,0.0844213,0.11146,-0.997748,0.598668,2.51882,-0.1941,-0.585812,0.0270212
3242805,1,-1.57092,-0.522881,-0.000476652,-2.09594,-1.57076,1.57154,0.785228,-1.5708,-0.523599,-3.67309e-07,-2.09439,-1.5708,1.5708,0.785397,9.66896e-05,-0.000486021,-0.000363081,0.000401667,0.000523905,-0.00035139,-0.0017716,0,0,0,0,0,0,0,0.124828,-10.0901,0.781009,21.0193,-0.769636,-0.57932,0.110056,0.11201,-0.994923,0.5987,2.51759,-0.19408,-0.585778,0.0268068
3242806,1,-1.57092,-0.522878,-0.000474982,-2.09594,-1.57076,1.57154,0.785233,-1.5708,-0.523599,-3.67309e-07,-2.09439,-1.5708,1.5708,0.785397,-0.000492352,0.00078961,0.000314758,-0.000938648,-5.7631e-05,0.000240458,0.000717802,0,0,0,0,0,0,0,0.148632,-10.1377,0.757205,21.0709,-0.75865,-0.592137,0.0587866,0.112521,-0.993184,0.598684,2.51687,-0.194074,-0.58576,0.0265864
3242807,1,-1.57092,-0.52288,-0.000476652,-2.09594,-1.57076,1.57154,0.785232,-1.5708,-0.523599,-3.67309e-07,-2.09439,-1.5708,1.5708,0.785397,0.000785389,-3.04053e-05,-0.000346974,0.000580661,0.00903215,0.000160305,3.81663e-06,0,0,0,0,0,0,0,0.101024,-10.1139,0.781009,21.0193,-0.746748,-0.592137,0.071604,0.112887,-0.993885,0.598513,2.51739,-0.19415,-0.585781,0.0264048
3242808,1,-1.57092,-0.522881,-0.000476652,-2.09594,-1.57076,1.57154,0.785234,-1.5708,-0.523599,-3.67309e-07,-2.09439,-1.5708,1.5708,0.785397,0.000523593,-0.000577082,-0.000231316,0.000387107,0.0070175,-0.000130489,0.000714621,0,0,0,0,0,0,0,0.101024,-10.0901,0.781009,21.0193,-0.752241,-0.585729,0.0523779,0.112863,-0.994903,0.597879,2.51797,-0.194302,-0.585839,0.0262435
3242809,1,-1.57092,-0.522876,-0.000476652,-2.09594,-1.57076,1.57154,0.785229,-1.5708,-0.523599,-3.67309e-07,-2.09439,-1.5708,1.5708,0.785397,0.000349062,0.00137852,-0.00015421,0.000258071,0.00551015,-8.69925e-05,-0.000235663,0,0,0,0,0,0,0,0.101024,-10.1654,0.781009,21.0193,-0.75865,-0.585729,0.071604,0.112595,-0.995755,0.597035,2.51823,-0.194474,-0.585911,0.0260853
3242810,1,-1.57092,-0.522878,-0.000478601,-2.09594,-1.57076,1.57154,0.785228,-1.5708,-0.523599,-3.67309e-07,-2.09439,-1.5708,1.5708,0.785397,0.000232708,0.000269397,-0.000752421,-0.000384764,0.00411928,0.000179364,-0.00110654,0,0,0,0,0,0,0,0.101024,-10.1377,0.80878,21.0431,-0.75865,-0.592137,0.0972387,0.112452,-0.998408,0.596574,2.51925,-0.19464,-0.585981,0.0259341
3242811,1,-1.57091,-0.522878,-0.000473311,-2.09594,-1.57076,1.57154,0.785227,-1.5708,-0.523599,-3.67309e-07,-2.09439,-1.5708,1.5708,0.785397,0.00191838,0.000179598,0.00126162,-0.000906123,0.00348747,-0.000117783,-0.00144977,0,0,0,0,0,0,0,0.0256461,-10.1377,0.733401,21.0709,-0.769636,-0.585729,0.116465,0.111845,-1.0022,0.595671,2.52104,-0.194802,-0.58613,0.0258058
3242812,1,-1.57092,-0.522878,-0.000476652,-2.09594,-1.57076,1.57154,0.785234,-1.5708,-0.523599,-3.67309e-07,-2.09439,-1.5708,1.5708,0.785397,-0.00104113,0.000119732,-0.000272541,4.55316e-05,0.00193151,-7.8522e-05,0.00140707,0,0,0,0,0,0,0,0.124828,-10.1377,0.781009,21.0431,-0.752241,-0.585729,0.0523779,0.110431,-1.00555,0.593728,2.52286,-0.194952,-0.586393,0.0257395
3242813,1,-1.57092,-0.522881,-0.000478601,-2.09594,-1.57076,1.57154,0.785233,-1.5708,-0.523599,-3.67309e-07,-2.09439,-1.5708,1.5708,0.785397,-0.000694088,-0.0010338,-0.000831308,0.000587166,0.00106886,0.000185011,0.000463332,0,0,0,0,0,0,0,0.124828,-10.0901,0.80878,21.0193,-0.741255,-0.592137,0.0651953,0.109985,-1.00665,0.593188,2.52341,-0.194997,-0.586486,0.0257479
3242814,1,-1.57092,-0.522878,-0.000478601,-2.09594,-1.57076,1.57154,0.785228,-1.5708,-0.523599,-3.67309e-07,-2.09439,-1.5708,1.5708,0.785397,-0.00101954,0.000424422,-0.000554205,0.000391444,0.00105709,-0.000114018,-0.00016583,0,0,0,0,0,0,0,0.148632,-10.1377,0.80878,21.0193,-0.746748,-0.585729,0.0780126,0.111361,-1.0051,0.595276,2.52225,-0.194888,-0.586282,0.0257933
3242815,1,-1.57092,-0.522881,-0.000473311,-2.09594,-1.57076,1.57154,0.785223,-1.5708,-0.523599,-3.67309e-07,-2.09439,-1.5708,1.5708,0.785397,0.000433932,-0.000830676,0.00139377,0.000817775,0.00145479,0.000161347,-0.00153471,0,0,0,0,0,0,0,0.101024,-10.0901,0.733401,20.9955,-0.764143,-0.592137,0.116465,0.11287,-1.00237,0.597522,2.52015,-0.194697,-0.586057,0.0258454
3242816,1,-1.57092,-0.52288,-0.000474982,-2.09594,-1.57076,1.57154,0.785228,-1.5708,-0.523599,-3.67309e-07,-2.09439,-1.5708,1.5708,0.785397,-0.000267524,3.0281e-06,0.000372366,-1.16288e-05,0.000845761,0.000344923,-0.000311061,0,0,0,0,0,0,0,0.124828,-10.1139,0.757205,21.0193,-0.75865,-0.598546,0.0972387,0.113055,-0.999079,0.597762,2.5176,-0.194494,-0.586038,0.0259181
3242817,1,-1.57092,-0.52288,-0.000478601,-2.09594,-1.57076,1.57154,0.785234,-1.5708,-0.523599,-3.67309e-07,-2.09439,-1.5708,1.5708,0.785397,-0.000178349,2.01873e-06,-0.000958182,-0.00177099,0.00103026,-7.40999e-06,0.00145414,0,0,0,0,0,0,0,0.124828,-10.1139,0.80878,21.0947,-0.769636,-0.592137,0.0523779,0.112856,-0.996955,0.597479,2.51605,-0.194332,-0.586103,0.0260513
3242818,1,-1.57092,-0.52288,-0.000476652,-2.09594,-1.57076,1.57154,0.78523,-1.5708,-0.523599,-3.67309e-07,-2.09439,-1.5708,1.5708,0.785397,0.000437913,1.34582e-06,1.08262e-05,2.57657e-05,-0.000116239,-0.000242299,-0.000454728,0,0,0,0,0,0,0,0.101024,-10.1139,0.781009,21.0431,-0.746748,-0.585729,0.09083,0.113218,-0.997016,0.598184,2.51624,-0.194229,-0.586117,0.0262444
3242819,1,-1.57092,-0.522876,-0.000478601,-2.09594,-1.57076,1.57154,0.78523,-1.5708,-0.523599,-3.67309e-07,-2.09439,-1.5708,1.5708,0.785397,-0.00026487,0.00120732,-0.000642396,-0.000632437,-4.40164e-05,-0.000161533,0.000646284,0,0,0,0,0,0,0,0.124828,-10.1654,0.80878,21.0709,-0.746748,-0.585729,0.0651953,0.113766,-0.998755,0.599307,2.51737,-0.194162,-0.586133,0.0264594
3242820,1,-1.57092,-0.52288,-0.000476652,-2.09594,-1.57076,1.57154,0.785228,-1.5708,-0.523599,-3.67309e-07,-2.09439,-1.5708,1.5708,0.785397,-0.000733392,-0.000401544,0.00022135,-0.000978437,0.000436572,-0.000107688,-0.000755939,0,0,0,0,0,0,0,0.148632,-10.1139,0.781009,21.0947,-0.75865,-0.585729,0.0972387,0.11451,-1.00183,0.600739,2.51915,-0.194112,-0.58614,0.0266768
3242821,1,-1.57092,-0.522881,-0.000474982,-2.09594,-1.57076,1.57154,0.785232,-1.5708,-0.523599,-3.67309e-07,-2.09439,-1.5708,1.5708,0.785397,6.78839e-05,-0.000824508,0.000704378,0.000554135,0.000513329,-7.17923e-05,0.000445477,0,0,0,0,0,0,0,0.124828,-10.0901,0.757205,21.0431,-0.764143,-0.585729,0.071604,0.115101,-1.00354,0.601778,2.52035,-0.194043,-0.58615,0.026885
