duration, success rate, q[0], q[1], q[2], q[3], q[4], q[5], q[6],q_d[0], q_d[1], q_d[2], q_d[3], q_d[4], q_d[5], q_d[6],dq[0], dq[1], dq[2], dq[3], dq[4], dq[5], dq[6],dq_d[0], dq_d[1], dq_d[2], dq_d[3], dq_d[4], dq_d[5], dq_d[6],tau_J[0], tau_J[1], tau_J[2], tau_J[3], tau_J[4], tau_J[5], tau_J[6],tau_ext_hat_filtered[0], tau_ext_hat_filtered[1], tau_ext_hat_filtered[2], tau_ext_hat_filtered[3], tau_ext_hat_filtered[4], tau_ext_hat_filtered[5], tau_ext_hat_filtered[6]
4648706,0,-1.57029,-0.522821,0.000216309,-2.09589,1.57076,1.57169,0.784965,-1.5708,-0.523599,5.32764e-08,-2.0944,1.5708,1.5708,0.785397,0.000992843,0.000181604,-0.000754825,-0.000508098,0.000385056,-0.000167793,-5.29202e-06,0,0,0,0,0,0,0,-0.632923,-10.2646,-0.532163,20.9439,0.740068,-0.67545,0.187876,-0.590413,-1.11841,-0.156124,2.37449,0.183063,-0.67338,0.227324
4648707,1,-1.57029,-0.522819,0.000214639,-2.09589,1.57076,1.57169,0.784967,-1.5708,-0.523599,5.32764e-08,-2.0944,1.5708,1.5708,0.785397,-0.00054453,0.000770683,-0.00106003,0.0013317,5.32534e-05,0.000125497,0.00047119,0,0,0,0,0,0,0,-0.581349,-10.2924,-0.508359,20.8725,0.745561,-0.681859,0.175059,-0.590315,-1.11971,-0.15576,2.37518,0.18309,-0.673484,0.227334
4648708,1,-1.57029,-0.522821,0.000214639,-2.09589,1.57075,1.57169,0.784964,-1.5708,-0.523599,5.32764e-08,-2.0944,1.5708,1.5708,0.785397,-0.00036302,-0.000135825,-0.000706686,-0.000225822,3.55023e-05,-0.000153694,-0.000635309,0,0,0,0,0,0,0,-0.581349,-10.2646,-0.508359,20.9201,0.745561,-0.67545,0.200693,-0.589062,-1.12127,-0.153541,2.37555,0.183052,-0.673779,0.227372
4648709,1,-1.57029,-0.522823,0.000216309,-2.09589,1.57076,1.57169,0.784969,-1.5708,-0.523599,5.32764e-08,-2.0944,1.5708,1.5708,0.785397,0.000314798,-0.000647362,8.5688e-05,-0.000150548,0.000227119,-0.000577181,0.00123797,0,0,0,0,0,0,0,-0.605152,-10.2408,-0.532163,20.9201,0.740068,-0.662633,0.155832,-0.587532,-1.12192,-0.150872,2.37552,0.182983,-0.674106,0.227428
4648710,1,-1.57029,-0.522821,0.000216309,-2.09589,1.57075,1.57169,0.784968,-1.5708,-0.523599,5.32764e-08,-2.0944,1.5708,1.5708,0.785397,-0.000346946,0.000125237,5.71253e-05,-0.000657178,-0.000492848,8.99307e-05,0.000587956,0,0,0,0,0,0,0,-0.581349,-10.2646,-0.532163,20.9439,0.757463,-0.67545,0.162241,-0.586723,-1.12177,-0.149279,2.37555,0.18294,-0.674301,0.227493
4648711,1,-1.57029,-0.522823,0.000216309,-2.09589,1.57076,1.57169,0.784963,-1.5708,-0.523599,5.32764e-08,-2.0944,1.5708,1.5708,0.785397,0.000325514,-0.00047332,3.80836e-05,0.000118693,0.000112244,0.000297313,-0.00126954,0,0,0,0,0,0,0,-0.605152,-10.2408,-0.532163,20.9201,0.745561,-0.681859,0.207102,-0.586552,-1.1216,-0.148657,2.37584,0.182932,-0.674385,0.227539
4648712,1,-1.57029,-0.522821,0.000216309,-2.09589,1.57076,1.57169,0.784969,-1.5708,-0.523599,5.32764e-08,-2.0944,1.5708,1.5708,0.785397,0.00021701,0.000241265,2.5389e-05,7.91287e-05,7.48296e-05,-0.000513868,0.00128987,0,0,0,0,0,0,0,-0.605152,-10.2646,-0.532163,20.9201,0.745561,-0.662633,0.149424,-0.586853,-1.1213,-0.148684,2.37604,0.182939,-0.674386,0.227556
4648713,1,-1.57029,-0.522823,0.000216309,-2.09589,1.57076,1.57169,0.784965,-1.5708,-0.523599,5.32764e-08,-2.0944,1.5708,1.5708,0.785397,-0.000412139,-0.000395969,1.6926e-05,5.27524e-05,-0.000153564,0.000132139,-0.000564241,0,0,0,0,0,0,0,-0.581349,-10.2408,-0.532163,20.9201,0.751055,-0.67545,0.187876,-0.58738,-1.12086,-0.148985,2.37603,0.182946,-0.674343,0.227557
4648714,1,-1.57029,-0.522823,0.000216309,-2.09589,1.57075,1.57169,0.784967,-1.5708,-0.523599,5.32764e-08,-2.0944,1.5708,1.5708,0.785397,-0.000831571,-0.000263979,1.1284e-05,3.51682e-05,-0.000102376,0.000562811,9.85574e-05,0,0,0,0,0,0,0,-0.557545,-10.2408,-0.532163,20.9201,0.751055,-0.688268,0.175059,-0.587571,-1.12009,-0.148832,2.37582,0.18294,-0.674335,0.227537
4648715,1,-1.57029,-0.522825,0.000216309,-2.09589,1.57075,1.57169,0.784968,-1.5708,-0.523599,5.32764e-08,-2.0944,1.5708,1.5708,0.785397,2.43115e-06,-0.0008256,7.52268e-06,0.000580257,-6.82507e-05,-9.95109e-05,0.000540423,0,0,0,0,0,0,0,-0.581349,-10.213,-0.532163,20.8963,0.751055,-0.67545,0.162241,-0.587383,-1.11828,-0.148191,2.37503,0.182911,-0.674365,0.227496
4648716,1,-1.57029,-0.522821,0.000218258,-2.09589,1.57076,1.57169,0.784963,-1.5708,-0.523599,5.32764e-08,-2.0944,1.5708,1.5708,0.785397,0.000558433,0.000656026,0.000654629,-0.000169974,0.000361401,-0.0003037,-0.00130123,0,0,0,0,0,0,0,-0.605152,-10.2646,-0.559934,20.9201,0.740068,-0.669042,0.207102,-0.58759,-1.11625,-0.148146,2.37404,0.182895,-0.674333,0.227438
4648717,1,-1.57029,-0.522819,0.000214639,-2.09589,1.57076,1.57169,0.784969,-1.5708,-0.523599,5.32764e-08,-2.0944,1.5708,1.5708,0.785397,-0.000184523,0.00108696,-0.000770007,0.000443496,-0.000165967,0.000272252,0.00126874,0,0,0,0,0,0,0,-0.581349,-10.2924,-0.508359,20.8963,0.751055,-0.681859,0.149424,-0.588221,-1.11657,-0.148687,2.37412,0.18293,-0.674263,0.227367
4648718,1,-1.57029,-0.522819,0.000218258,-2.09589,1.57076,1.57169,0.784968,-1.5708,-0.523599,5.32764e-08,-2.0944,1.5708,1.5708,0.785397,-0.000123016,0.000724643,0.000693088,0.000295664,0.000296256,-5.58579e-05,0.000371111,0,0,0,0,0,0,0,-0.581349,-10.2924,-0.559934,20.8963,0.740068,-0.67545,0.162241,-0.588607,-1.11968,-0.148856,2.37535,0.18299,-0.674265,0.22729
4648719,1,-1.57029,-0.522825,0.000214639,-2.09589,1.57076,1.57169,0.784962,-1.5708,-0.523599,5.32764e-08,-2.0944,1.5708,1.5708,0.785397,0.000474802,-0.00137294,-0.000744367,-0.000916515,0.000197504,-0.000274598,-0.00165146,0,0,0,0,0,0,0,-0.605152,-10.213,-0.508359,20.9439,0.740068,-0.669042,0.213511,-0.588864,-1.12253,-0.148838,2.37658,0.183041,-0.674277,0.227195
4648720,1,-1.57029,-0.522821,0.000219928,-2.09589,1.57076,1.57169,0.784967,-1.5708,-0.523599,5.32764e-08,-2.0944,1.5708,1.5708,0.785397,-0.000240278,0.00029113,0.00126699,-5.41978e-05,-7.17811e-05,-0.000420424,0.000323178,0,0,0,0,0,0,0,-0.581349,-10.2646,-0.583737,20.9201,0.745561,-0.662633,0.175059,-0.589371,-1.12333,-0.149204,2.37729,0.183079,-0.674211,0.227082
4648721,1,-1.57029,-0.522821,0.000219928,-2.09589,1.57075,1.57169,0.784968,-1.5708,-0.523599,5.32764e-08,-2.0944,1.5708,1.5708,0.785397,-0.000716997,0.000194086,0.000844662,0.00052068,0.000155596,0.000194435,0.00069017,0,0,0,0,0,0,0,-0.557545,-10.2646,-0.583737,20.8963,0.740068,-0.67545,0.162241,-0.590292,-1.12345,-0.150374,2.37772,0.183115,-0.674059,0.226987
4648722,1,-1.57029,-0.522817,0.000216309,-2.09589,1.57076,1.57169,0.784964,-1.5708,-0.523599,5.32764e-08,-2.0944,1.5708,1.5708,0.785397,7.88139e-05,0.00133582,-0.000643318,-0.000209692,-0.00030317,0.000366982,-0.000726682,0,0,0,0,0,0,0,-0.581349,-10.3162,-0.532163,20.9201,0.751055,-0.681859,0.194285,-0.591014,-1.12484,-0.151447,2.37846,0.183144,-0.673942,0.226908
