duration, success rate, q[0], q[1], q[2], q[3], q[4], q[5], q[6],q_d[0], q_d[1], q_d[2], q_d[3], q_d[4], q_d[5], q_d[6],dq[0], dq[1], dq[2], dq[3], dq[4], dq[5], dq[6],dq_d[0], dq_d[1], dq_d[2], dq_d[3], dq_d[4], dq_d[5], dq_d[6],tau_J[0], tau_J[1], tau_J[2], tau_J[3], tau_J[4], tau_J[5], tau_J[6],tau_ext_hat_filtered[0], tau_ext_hat_filtered[1], tau_ext_hat_filtered[2], tau_ext_hat_filtered[3], tau_ext_hat_filtered[4], tau_ext_hat_filtered[5], tau_ext_hat_filtered[6]
1096090,0,-1.57087,-0.522941,0.000335291,-2.09672,-0.000971086,1.57114,0.784965,-1.5708,-0.523599,5.09298e-07,-2.0944,-9.63998e-07,1.5708,0.785397,-0.000109529,-0.000235442,-0.000580608,0.00168782,-0.000186747,0.000332889,-0.000926937,0,0,0,0,0,0,0,0.0732535,-10.0385,-0.861447,21.7414,1.49172,1.44308,0.278513,0.0703086,-0.920188,-0.415493,3.26551,0.770504,-0.219059,0.253722
1096091,1,-1.57087,-0.522938,0.00033724,-2.09673,-0.000969255,1.57114,0.784962,-1.5708,-0.523599,5.09298e-07,-2.0944,-9.63998e-07,1.5708,0.785397,-0.000722633,0.00104946,0.000262542,-0.000638023,0.000485853,0.000221926,-0.00156739,0,0,0,0,0,0,0,0.101024,-10.0901,-0.889218,21.8167,1.47524,1.44308,0.304148,0.0709428,-0.920412,-0.414429,3.26527,0.770519,-0.21914,0.253705
1096092,1,-1.57087,-0.522936,0.00033891,-2.09673,-0.000971086,1.57114,0.78497,-1.5708,-0.523599,5.09298e-07,-2.0944,-9.63998e-07,1.5708,0.785397,0.000167858,0.000699643,0.00073184,-0.000982161,-0.000286449,-8.94081e-05,0.00156602,0,0,0,0,0,0,0,0.0732535,-10.0901,-0.913022,21.8405,1.49172,1.44949,0.233652,0.0712953,-0.923253,-0.413898,3.26654,0.77056,-0.219094,0.253745
1096093,1,-1.57087,-0.522939,0.000335291,-2.09673,-0.000970476,1.57114,0.784971,-1.5708,-0.523599,5.09298e-07,-2.0944,-9.63998e-07,1.5708,0.785397,0.000111906,-0.000739997,-0.000718533,-0.000654774,1.24842e-05,-0.000296964,0.00155264,0,0,0,0,0,0,0,0.0732535,-10.0385,-0.861447,21.8405,1.48622,1.4559,0.219919,0.0711515,-0.927592,-0.414153,3.2692,0.770605,-0.218902,0.253857
1096094,1,-1.57086,-0.52294,0.00033724,-2.09673,-0.000971086,1.57114,0.784965,-1.5708,-0.523599,5.09298e-07,-2.0944,-9.63998e-07,1.5708,0.785397,0.00118823,6.34805e-05,0.000170592,0.000120296,-0.000195128,3.93827e-05,5.17486e-05,0,0,0,0,0,0,0,0.0256461,-10.0623,-0.889218,21.8167,1.49172,1.44949,0.24647,0.0707537,-0.930313,-0.414658,3.27137,0.770628,-0.218734,0.253988
1096095,1,-1.57087,-0.522938,0.00033724,-2.09672,-0.000971086,1.57114,0.784968,-1.5708,-0.523599,5.09298e-07,-2.0944,-9.63998e-07,1.5708,0.785397,-0.000971086,4.23203e-05,0.000113728,0.00128662,-0.000130085,2.62551e-05,0.000271858,0,0,0,0,0,0,0,0.101024,-10.0623,-0.889218,21.7652,1.49172,1.44949,0.240061,0.0701692,-0.93107,-0.415341,3.27216,0.770618,-0.218701,0.254077
1096096,1,-1.57086,-0.522938,0.00033724,-2.09672,-0.000971086,1.57114,0.784965,-1.5708,-0.523599,5.09298e-07,-2.0944,-9.63998e-07,1.5708,0.785397,0.000559035,2.82136e-05,7.58187e-05,0.00141456,-8.67234e-05,1.75034e-05,-0.00100556,0,0,0,0,0,0,0,0.0494498,-10.0623,-0.889218,21.7414,1.49172,1.44949,0.272104,0.069697,-0.930206,-0.415891,3.2713,0.770589,-0.218849,0.254111
1096097,1,-1.57087,-0.522938,0.00033891,-2.09673,-0.000969255,1.57114,0.784964,-1.5708,-0.523599,5.09298e-07,-2.0944,-9.63998e-07,1.5708,0.785397,-0.000833736,1.8809e-05,0.000607358,-0.00137701,0.000552536,1.1669e-05,-0.00090773,0,0,0,0,0,0,0,0.101024,-10.0623,-0.913022,21.8405,1.47524,1.44949,0.278513,0.0693089,-0.928913,-0.416386,3.26998,0.770572,-0.219039,0.254104
1096098,1,-1.57086,-0.522937,0.000340859,-2.09673,-0.000970476,1.57114,0.784969,-1.5708,-0.523599,5.09298e-07,-2.0944,-9.63998e-07,1.5708,0.785397,0.000650602,1.25394e-05,0.00105452,-0.000918006,-3.85437e-05,0.000245138,0.00105636,0,0,0,0,0,0,0,0.0494498,-10.0623,-0.940793,21.8405,1.48622,1.44308,0.233652,0.06853,-0.929031,-0.417573,3.27008,0.770581,-0.21906,0.2541
1096099,1,-1.57087,-0.522937,0.00033891,-2.09672,-0.000970476,1.57114,0.784971,-1.5708,-0.523599,5.09298e-07,-2.0944,-9.63998e-07,1.5708,0.785397,-0.000123077,8.35957e-06,5.33988e-05,0.000594422,-2.56958e-05,0.000163425,0.00121287,0,0,0,0,0,0,0,0.0732535,-10.0623,-0.913022,21.789,1.48622,1.44308,0.219919,0.0673115,-0.929999,-0.419487,3.27108,0.770586,-0.218986,0.254117
