duration, success rate, q[0], q[1], q[2], q[3], q[4], q[5], q[6],q_d[0], q_d[1], q_d[2], q_d[3], q_d[4], q_d[5], q_d[6],dq[0], dq[1], dq[2], dq[3], dq[4], dq[5], dq[6],dq_d[0], dq_d[1], dq_d[2], dq_d[3], dq_d[4], dq_d[5], dq_d[6],tau_J[0], tau_J[1], tau_J[2], tau_J[3], tau_J[4], tau_J[5], tau_J[6],tau_ext_hat_filtered[0], tau_ext_hat_filtered[1], tau_ext_hat_filtered[2], tau_ext_hat_filtered[3], tau_ext_hat_filtered[4], tau_ext_hat_filtered[5], tau_ext_hat_filtered[6]
3212197,0,-1.57091,-0.523198,0.000216309,-2.0959,1.56974,1.57017,0.785851,-1.5708,-0.523599,4.49865e-08,-2.09439,1.5708,1.5708,0.785398,-0.000416128,-0.000283973,0.00111195,0.000748801,-2.66755e-05,0.000121041,-0.00155859,0,0,0,0,0,0,0,0.0494498,-9.80838,-0.532163,20.8963,1.43587,0.483607,-0.322988,0.0545176,-0.714501,-0.0951653,2.36905,0.86626,0.485097,-0.308552
3212198,1,-1.57091,-0.523198,0.000212968,-2.0959,1.56974,1.57017,0.785859,-1.5708,-0.523599,4.49865e-08,-2.09439,1.5708,1.5708,0.785398,-0.000277419,-0.000189315,-0.000372327,0.00170563,0.000185667,-0.000394024,0.0016058,0,0,0,0,0,0,0,0.0494498,-9.80838,-0.484555,20.8448,1.43038,0.496425,-0.394399,0.0534694,-0.713594,-0.0961075,2.36904,0.866278,0.485205,-0.308753
3212199,1,-1.57091,-0.523191,0.000214639,-2.0959,1.56974,1.57017,0.785858,-1.5708,-0.523599,4.49865e-08,-2.09439,1.5708,1.5708,0.785398,-0.000741758,0.00228664,0.000308594,0.00113708,-7.96726e-05,-0.000262683,0.000833174,0,0,0,0,0,0,0,0.0732535,-9.91153,-0.508359,20.8448,1.43587,0.496425,-0.387991,0.0529781,-0.712697,-0.0962412,2.36792,0.866229,0.485226,-0.308925
3212200,1,-1.57091,-0.523195,0.000211019,-2.0959,1.56974,1.57017,0.78585,-1.5708,-0.523599,4.49865e-08,-2.09439,1.5708,1.5708,0.785398,-0.00114412,0.000318002,-0.0010007,-0.00100518,-0.000256566,6.22372e-05,-0.00232677,0,0,0,0,0,0,0,0.101024,-9.85995,-0.456784,20.9201,1.44136,0.490016,-0.310171,0.0535328,-0.71518,-0.0949017,2.36809,0.866192,0.485068,-0.309108
3212201,1,-1.57091,-0.523196,0.000214639,-2.0959,1.56974,1.57017,0.785856,-1.5708,-0.523599,4.49865e-08,-2.09439,1.5708,1.5708,0.785398,-0.000113132,-0.000344811,0.000539295,-0.000670121,3.24068e-05,0.00027885,0.000381602,0,0,0,0,0,0,0,0.0732535,-9.83615,-0.508359,20.9201,1.43587,0.483607,-0.362356,0.0548462,-0.719307,-0.092585,2.36971,0.866203,0.48482,-0.30931
3212202,1,-1.57091,-0.523195,0.000216309,-2.0959,1.56974,1.57017,0.785858,-1.5708,-0.523599,4.49865e-08,-2.09439,1.5708,1.5708,0.785398,0.0010382,0.000326938,0.000916342,0.00131649,2.16045e-05,-5.14587e-05,0.000966478,0,0,0,0,0,0,0,0.0256461,-9.85995,-0.532163,20.8448,1.43587,0.490016,-0.381582,0.0552857,-0.721773,-0.0916853,2.37091,0.866249,0.484755,-0.309484
3212203,1,-1.57091,-0.523198,0.000216309,-2.0959,1.56974,1.57017,0.785856,-1.5708,-0.523599,4.49865e-08,-2.09439,1.5708,1.5708,0.785398,-0.000421489,-0.000988467,0.00690431,-0.00144239,0.000217854,0.000203053,-6.7758e-05,0,0,0,0,0,0,0,0.0732535,-9.80838,-0.532163,20.9439,1.43038,0.483607,-0.362356,0.0524517,-0.722022,-0.0960918,2.37107,0.866402,0.485223,-0.30962
3212204,1,-1.57091,-0.523196,0.000214639,-2.0959,1.56974,1.57017,0.785852,-1.5708,-0.523599,4.49865e-08,-2.09439,1.5708,1.5708,0.785398,0.000275819,-9.36413e-06,0.00457051,-0.000404781,0.000382595,-0.000339349,-0.00126588,0,0,0,0,0,0,0,0.0494498,-9.83615,-0.508359,20.9201,1.42397,0.496425,-0.329397,0.0454113,-0.72104,-0.107611,2.37117,0.866748,0.486352,-0.309747
3212205,1,-1.57091,-0.523195,0.000211019,-2.0959,1.56974,1.57017,0.785856,-1.5708,-0.523599,4.49865e-08,-2.09439,1.5708,1.5708,0.785398,0.000740692,0.000550569,0.00223392,0.00084377,1.77041e-05,0.000248485,0.000376786,0,0,0,0,0,0,0,0.0256461,-9.85995,-0.456784,20.8725,1.43038,0.483607,-0.362356,0.0367833,-0.720197,-0.12186,2.37146,0.867164,0.487726,-0.309865
3212206,1,-1.5709,-0.523196,0.000211019,-2.0959,1.56974,1.57017,0.785855,-1.5708,-0.523599,4.49865e-08,-2.09439,1.5708,1.5708,0.785398,0.000493794,-0.000189766,0.00178428,-0.000551111,0.000249162,-0.000309061,1.3832e-05,0,0,0,0,0,0,0,0.0256461,-9.83615,-0.456784,20.9201,1.42397,0.496425,-0.355947,0.0297337,-0.719874,-0.133378,2.37156,0.867473,0.488854,-0.309955
3212207,1,-1.57091,-0.523195,0.000214639,-2.0959,1.56973,1.57017,0.785856,-1.5708,-0.523599,4.49865e-08,-2.09439,1.5708,1.5708,0.785398,-0.000784428,0.000430301,0.0026172,0.000189405,-0.000478152,3.13182e-05,0.000483939,0,0,0,0,0,0,0,0.0732535,-9.85995,-0.508359,20.8963,1.44136,0.490016,-0.368765,0.0250304,-0.719951,-0.140969,2.37171,0.867659,0.489626,-0.310019
3212208,1,-1.57091,-0.523196,0.000218258,-2.0959,1.56974,1.57017,0.785852,-1.5708,-0.523599,4.49865e-08,-2.09439,1.5708,1.5708,0.785398,3.38602e-05,-0.000269944,0.00311717,-0.000430542,-0.000115318,2.08788e-05,-0.00113544,0,0,0,0,0,0,0,0.0494498,-9.83615,-0.559934,20.9201,1.43587,0.490016,-0.329397,0.0219385,-0.720292,-0.145993,2.37201,0.867775,0.490155,-0.31007
3212209,1,-1.57091,-0.523196,0.000214639,-2.0959,1.56973,1.57017,0.785858,-1.5708,-0.523599,4.49865e-08,-2.09439,1.5708,1.5708,0.785398,2.25734e-05,-0.000179963,0.00099614,0.000826596,-0.000280329,1.39192e-05,0.00117582,0,0,0,0,0,0,0,0.0494498,-9.83615,-0.508359,20.8725,1.44136,0.490016,-0.381582,0.0200163,-0.719953,-0.149131,2.37186,0.867826,0.490521,-0.310108
3212210,1,-1.57091,-0.523196,0.000216309,-2.0959,1.56974,1.57017,0.785855,-1.5708,-0.523599,4.49865e-08,-2.09439,1.5708,1.5708,0.785398,-0.00119138,-0.000119975,0.00131425,-5.74804e-06,0.000220015,9.27947e-06,-0.000165554,0,0,0,0,0,0,0,0.101024,-9.83615,-0.532163,20.8963,1.43038,0.490016,-0.355947,0.0199984,-0.718553,-0.14923,2.37093,0.867773,0.490618,-0.310131
3212211,1,-1.57091,-0.523193,0.000212968,-2.0959,1.56974,1.57017,0.78585,-1.5708,-0.523599,4.49865e-08,-2.09439,1.5708,1.5708,0.785398,-0.000144637,0.00112644,-0.000167454,-0.000560644,-5.67738e-05,0.000243545,-0.00180579,0,0,0,0,0,0,0,0.0732535,-9.88773,-0.484555,20.9201,1.43587,0.483607,-0.310171,0.0222778,-0.718201,-0.145789,2.37043,0.867654,0.490365,-0.310157
3212212,1,-1.57091,-0.523194,0.000216309,-2.0959,1.56974,1.57017,0.785856,-1.5708,-0.523599,4.49865e-08,-2.09439,1.5708,1.5708,0.785398,0.000460387,-0.000455464,0.00105449,-0.000930575,-3.78492e-05,0.000162364,0.00072892,0,0,0,0,0,0,0,0.0494498,-9.83615,-0.532163,20.9439,1.43587,0.483607,-0.362356,0.025841,-0.720063,-0.140332,2.37133,0.867539,0.489903,-0.310177
3212213,1,-1.5709,-0.523195,0.000214639,-2.0959,1.56974,1.57017,0.785859,-1.5708,-0.523599,4.49865e-08,-2.09439,1.5708,1.5708,0.785398,0.00151335,-0.000303643,0.000185561,0.000493241,0.000178218,0.000108242,0.00167274,0,0,0,0,0,0,0,-0.00212494,-9.83615,-0.508359,20.8963,1.43038,0.483607,-0.394399,0.0291439,-0.721565,-0.135095,2.3723,0.867429,0.489481,-0.310154
3212214,1,-1.57091,-0.523198,0.000214639,-2.0959,1.56973,1.57017,0.78585,-1.5708,-0.523599,4.49865e-08,-2.09439,1.5708,1.5708,0.785398,0.000359286,-0.000852043,0.000153241,-0.000227985,-0.00049154,0.00030952,-0.00176705,0,0,0,0,0,0,0,0.0256461,-9.80838,-0.508359,20.9201,1.44686,0.477198,-0.31658,0.0318742,-0.720692,-0.130506,2.37201,0.867284,0.489153,-0.310107
