duration, success rate, q[0], q[1], q[2], q[3], q[4], q[5], q[6],q_d[0], q_d[1], q_d[2], q_d[3], q_d[4], q_d[5], q_d[6],dq[0], dq[1], dq[2], dq[3], dq[4], dq[5], dq[6],dq_d[0], dq_d[1], dq_d[2], dq_d[3], dq_d[4], dq_d[5], dq_d[6],tau_J[0], tau_J[1], tau_J[2], tau_J[3], tau_J[4], tau_J[5], tau_J[6],tau_ext_hat_filtered[0], tau_ext_hat_filtered[1], tau_ext_hat_filtered[2], tau_ext_hat_filtered[3], tau_ext_hat_filtered[4], tau_ext_hat_filtered[5], tau_ext_hat_filtered[6]
1876101,0,-1.57037,-0.522989,0.000260786,-2.09662,-0.000694557,1.57115,0.785787,-1.5708,-0.523599,7.17749e-08,-2.0944,1.96212e-07,1.5708,0.785398,0.00104262,0.000738835,-0.000554246,0.00138208,0.000657896,0.00024738,0.000360604,0,0,0,0,0,0,0,-0.50597,-10.0623,-0.710691,21.666,1.39009,1.41745,-0.310171,-0.464124,-0.922806,-0.265811,3.17309,0.691096,-0.246898,-0.314794
1876102,1,-1.57038,-0.522994,0.000263952,-2.09662,-0.000694961,1.57116,0.785786,-1.5708,-0.523599,7.17749e-08,-2.0944,1.96212e-07,1.5708,0.785398,-0.000511346,-0.000713869,0.00139374,0.000364576,-0.000409113,0.00016492,-0.000234315,0,0,0,0,0,0,0,-0.454395,-10.0107,-0.786069,21.6898,1.41298,1.41745,-0.297354,-0.465237,-0.92138,-0.267353,3.17195,0.69099,-0.247007,-0.314403
1876103,1,-1.57037,-0.522991,0.000263703,-2.09662,-0.000694248,1.57116,0.785787,-1.5708,-0.523599,7.17749e-08,-2.0944,1.96212e-07,1.5708,0.785398,-0.000340897,0.000173701,0.000372348,0.000799863,-0.000272742,0.000109947,8.11486e-05,0,0,0,0,0,0,0,-0.454395,-10.0385,-0.762265,21.666,1.41298,1.41745,-0.303762,-0.466558,-0.919371,-0.269284,3.17027,0.690862,-0.24719,-0.314029
1876104,1,-1.57038,-0.522992,0.000264178,-2.09662,-0.0006934,1.57116,0.785791,-1.5708,-0.523599,7.17749e-08,-2.0944,1.96212e-07,1.5708,0.785398,0.000329547,-0.000533813,0.000248232,0.00109005,2.16225e-05,-0.000164061,0.00151216,0,0,0,0,0,0,0,-0.478199,-10.0107,-0.762265,21.6422,1.40749,1.42385,-0.34313,-0.467707,-0.916839,-0.271059,3.1682,0.69074,-0.247418,-0.313673
1876105,1,-1.57037,-0.52299,0.000262387,-2.09662,-0.00069332,1.57116,0.78579,-1.5708,-0.523599,7.17749e-08,-2.0944,1.96212e-07,1.5708,0.785398,0.00142612,0.000293738,-0.000484126,-0.000386921,1.4415e-05,0.000127985,0.000499481,0,0,0,0,0,0,0,-0.529774,-10.0385,-0.734494,21.6898,1.40749,1.41745,-0.329397,-0.468718,-0.914549,-0.272484,3.16627,0.690636,-0.247633,-0.31335
1876106,1,-1.57037,-0.52299,0.000264388,-2.09662,-0.000692684,1.57116,0.785789,-1.5708,-0.523599,7.17749e-08,-2.0944,1.96212e-07,1.5708,0.785398,-0.000812488,0.000195826,0.000326863,-0.000257948,0.000213061,8.53233e-05,9.56285e-05,0,0,0,0,0,0,0,-0.454395,-10.0385,-0.762265,21.6898,1.40199,1.41745,-0.322988,-0.46954,-0.913977,-0.273456,3.16557,0.690582,-0.24772,-0.313097
1876107,1,-1.57037,-0.52299,0.000262275,-2.09662,-0.000692675,1.57116,0.78579,-1.5708,-0.523599,7.17749e-08,-2.0944,1.96212e-07,1.5708,0.785398,1.51531e-05,0.00013055,0.000217909,-0.00137839,0.00014204,-0.000180477,0.000572379,0,0,0,0,0,0,0,-0.478199,-10.0385,-0.762265,21.7414,1.40199,1.42385,-0.336721,-0.469879,-0.915558,-0.273761,3.16653,0.6906,-0.247636,-0.312931
1876108,1,-1.57037,-0.522992,0.000265372,-2.09662,-0.000695868,1.57115,0.785792,-1.5708,-0.523599,7.17749e-08,-2.0944,1.96212e-07,1.5708,0.785398,-0.00054671,-0.00056258,0.000702085,-0.000918927,9.46936e-05,-0.000357677,0.000856304,0,0,0,0,0,0,0,-0.454395,-10.0107,-0.786069,21.7414,1.40199,1.43026,-0.349539,-0.469986,-0.918046,-0.273866,3.16861,0.69066,-0.247422,-0.312849
1876109,1,-1.57037,-0.522989,0.000265847,-2.09662,-0.000698153,1.57115,0.785791,-1.5708,-0.523599,7.17749e-08,-2.0944,1.96212e-07,1.5708,0.785398,0.00139876,0.000831372,0.000468056,0.000593808,-0.000343772,0.000236267,0.00033351,0,0,0,0,0,0,0,-0.529774,-10.0623,-0.786069,21.6898,1.41298,1.41745,-0.34313,-0.470497,-0.92035,-0.274611,3.17077,0.690695,-0.247199,-0.312858
1876110,1,-1.57038,-0.52299,0.000260256,-2.09662,-0.000694701,1.57115,0.78579,-1.5708,-0.523599,7.17749e-08,-2.0944,1.96212e-07,1.5708,0.785398,-0.000830728,-2.56372e-06,-0.000894388,-0.000810554,-2.57308e-05,0.000157511,-0.000286286,0,0,0,0,0,0,0,-0.454395,-10.0385,-0.734494,21.7414,1.40749,1.41745,-0.329397,-0.471074,-0.922629,-0.275374,3.17251,0.690712,-0.247041,-0.31297
