duration, success rate, q[0], q[1], q[2], q[3], q[4], q[5], q[6],q_d[0], q_d[1], q_d[2], q_d[3], q_d[4], q_d[5], q_d[6],dq[0], dq[1], dq[2], dq[3], dq[4], dq[5], dq[6],dq_d[0], dq_d[1], dq_d[2], dq_d[3], dq_d[4], dq_d[5], dq_d[6],tau_J[0], tau_J[1], tau_J[2], tau_J[3], tau_J[4], tau_J[5], tau_J[6],tau_ext_hat_filtered[0], tau_ext_hat_filtered[1], tau_ext_hat_filtered[2], tau_ext_hat_filtered[3], tau_ext_hat_filtered[4], tau_ext_hat_filtered[5], tau_ext_hat_filtered[6]
5748333,0,-1.57062,-0.522867,-0.000443447,-2.09654,-1.56979,1.57143,0.785296,-1.5708,-0.523598,-1.29108e-06,-2.0944,-1.5708,1.5708,0.785397,0.000286195,0.000610074,0.000533746,0.00034304,0.000191225,3.13599e-05,-0.00306912,0,0,0,0,0,0,0,-0.204456,-10.2408,0.80878,21.5668,-1.39128,-0.366002,0.103647,-0.172363,-1.19443,0.656087,3.04769,-0.78412,-0.342681,-0.0112075
5754973,0,-1.57062,-0.522885,-0.000447067,-2.09652,-1.5698,1.57143,0.785304,-1.5708,-0.523598,-1.29108e-06,-2.0944,-1.5708,1.5708,0.785397,0.000327286,0.000547038,-0.000320507,0.000474995,0.000137575,0.000149943,0.000542129,0,0,0,0,0,0,0,-0.176685,-10.1654,0.860354,21.4914,-1.38579,-0.373326,0.0322363,-0.147962,-0.955063,0.674661,2.94845,-0.814414,-0.373369,-0.00722331
5754976,0,-1.57062,-0.522887,-0.000445118,-2.09652,-1.5698,1.57143,0.785301,-1.5708,-0.523598,-1.29108e-06,-2.0944,-1.5708,1.5708,0.785397,-0.000150498,-0.00010396,0.000740253,0.000408834,-4.44827e-06,-0.000305959,-0.000498699,0,0,0,0,0,0,0,-0.152882,-10.1377,0.832583,21.4914,-1.38029,-0.366002,0.0523779,-0.148023,-0.987119,0.677067,2.96282,-0.814919,-0.373552,-0.00706079
5754977,0,-1.57062,-0.522884,-0.000445118,-2.09652,-1.5698,1.57143,0.785306,-1.5708,-0.523598,-1.29108e-06,-2.0944,-1.5708,1.5708,0.785397,-0.000749946,0.00113192,0.000493502,-0.000284256,-0.000206416,6.72944e-05,0.00136295,0,0,0,0,0,0,0,-0.125111,-10.1892,0.832583,21.5152,-1.3748,-0.373326,0.00660151,-0.14833,-0.992554,0.6772,2.96483,-0.815012,-0.373597,-0.00698472
5754978,0,-1.57062,-0.522884,-0.000445118,-2.09652,-1.5698,1.57143,0.785309,-1.5708,-0.523598,-1.29108e-06,-2.0944,-1.5708,1.5708,0.785397,0.00014965,0.000750713,0.000329001,-0.000839118,0.00026929,0.000282222,0.000671278,0,0,0,0,0,0,0,-0.152882,-10.1892,0.832583,21.543,-1.38579,-0.379735,0.0130102,-0.149094,-0.999646,0.676562,2.96783,-0.815159,-0.373736,-0.00691848
5754979,0,-1.57062,-0.522885,-0.000447067,-2.09652,-1.5698,1.57143,0.785302,-1.5708,-0.523598,-1.29108e-06,-2.0944,-1.5708,1.5708,0.785397,9.97666e-05,-5.92614e-05,-0.00043028,0.000647014,0.000179527,-4.9211e-05,-0.0012479,0,0,0,0,0,0,0,-0.152882,-10.1654,0.860354,21.4914,-1.38579,-0.373326,0.0587866,-0.149942,-1.0071,0.675778,2.97119,-0.815323,-0.373898,-0.00689709
5754980,0,-1.57062,-0.522889,-0.000445118,-2.09652,-1.5698,1.57143,0.785306,-1.5708,-0.523598,-1.29108e-06,-2.0944,-1.5708,1.5708,0.785397,0.00127294,-0.00124813,0.000362761,-0.000125469,-8.37659e-05,-3.28073e-05,-8.59499e-05,0,0,0,0,0,0,0,-0.204456,-10.1139,0.832583,21.5152,-1.38029,-0.373326,0.038645,-0.150911,-1.0114,0.674813,2.97298,-0.815431,-0.374046,-0.00693851
5754981,0,-1.57062,-0.522889,-0.000448737,-2.09652,-1.5698,1.57143,0.785302,-1.5708,-0.523598,-1.29108e-06,-2.0944,-1.5708,1.5708,0.785397,-0.00100742,-0.00083373,-0.000964585,-0.00073326,0.000147607,-2.18716e-05,-0.000803285,0,0,0,0,0,0,0,-0.125111,-10.1139,0.884158,21.543,-1.38579,-0.373326,0.0587866,-0.151719,-1.0118,0.674053,2.97311,-0.815482,-0.374123,-0.00701101
5754982,0,-1.57062,-0.522889,-0.000443447,-2.09652,-1.5698,1.57143,0.785307,-1.5708,-0.523598,-1.29108e-06,-2.0944,-1.5708,1.5708,0.785397,-2.19962e-05,-0.000557054,0.00112018,0.0012744,-0.000511947,0.000222778,0.00139726,0,0,0,0,0,0,0,-0.152882,-10.1139,0.80878,21.4676,-1.36931,-0.379735,0.00660151,-0.151936,-1.00992,0.674031,2.97229,-0.815491,-0.374088,-0.0070801
5754983,0,-1.57062,-0.522885,-0.000443447,-2.09652,-1.5698,1.57143,0.785304,-1.5708,-0.523598,-1.29108e-06,-2.0944,-1.5708,1.5708,0.785397,-0.000664278,0.000834131,0.000746787,0.000292787,-0.000137848,-8.88403e-05,-0.00100128,0,0,0,0,0,0,0,-0.125111,-10.1654,0.80878,21.4914,-1.3748,-0.373326,0.0587866,-0.15231,-1.00783,0.673572,2.97093,-0.815486,-0.374095,-0.00713948
