duration, success rate, q[0], q[1], q[2], q[3], q[4], q[5], q[6],q_d[0], q_d[1], q_d[2], q_d[3], q_d[4], q_d[5], q_d[6],dq[0], dq[1], dq[2], dq[3], dq[4], dq[5], dq[6],dq_d[0], dq_d[1], dq_d[2], dq_d[3], dq_d[4], dq_d[5], dq_d[6],tau_J[0], tau_J[1], tau_J[2], tau_J[3], tau_J[4], tau_J[5], tau_J[6],tau_ext_hat_filtered[0], tau_ext_hat_filtered[1], tau_ext_hat_filtered[2], tau_ext_hat_filtered[3], tau_ext_hat_filtered[4], tau_ext_hat_filtered[5], tau_ext_hat_filtered[6]
5477169,0,-1.57034,-0.522803,0.000146424,-2.09582,1.57092,1.57177,0.785038,-1.5708,-0.523599,6.5269e-08,-2.0944,1.5708,1.5708,0.785397,0.000474158,-0.000153889,-0.000350515,0.000339846,-0.000218897,0.000202063,0.000789964,0,0,0,0,0,0,0,-0.581349,-10.2924,-0.583737,20.8963,0.695207,-0.72672,0.110056,-0.515353,-1.15768,-0.0807981,2.29615,0.060407,-0.75447,0.188786
5501219,0,-1.57036,-0.522877,0.000134744,-2.09583,1.57078,1.57169,0.785053,-1.5708,-0.523599,6.5269e-08,-2.0944,1.5708,1.5708,0.785397,0.00110861,-6.26438e-05,5.77063e-05,-0.00056014,0.000386779,0.000124002,0.000913632,0,0,0,0,0,0,0,-0.529774,-10.1892,-0.508359,20.8725,0.745561,-0.662633,0.09083,-0.505424,-1.05365,-0.107586,2.32081,0.189806,-0.657621,0.156998
5501220,0,-1.57036,-0.522879,0.000134744,-2.09583,1.57078,1.57169,0.78505,-1.5708,-0.523599,6.5269e-08,-2.0944,1.5708,1.5708,0.785397,0.000182264,-0.000598575,3.84709e-05,-0.00148705,-0.000386407,-0.000154691,-0.000102989,0,0,0,0,0,0,0,-0.50597,-10.1654,-0.508359,20.9201,0.762956,-0.656224,0.110056,-0.505911,-1.05468,-0.108594,2.32151,0.189885,-0.657517,0.157017
5501221,0,-1.57036,-0.522877,0.000133073,-2.09583,1.57078,1.57168,0.785046,-1.5708,-0.523599,6.5269e-08,-2.0944,1.5708,1.5708,0.785397,0.000121509,0.000157762,-0.000531165,0.000122257,-0.000257605,-0.000103127,-0.00152672,0,0,0,0,0,0,0,-0.50597,-10.1892,-0.484555,20.8725,0.762956,-0.656224,0.149424,-0.50645,-1.05543,-0.109568,2.32257,0.189973,-0.6574,0.157026
5501222,0,-1.57036,-0.522876,0.000136414,-2.09583,1.57078,1.57168,0.785052,-1.5708,-0.523599,6.5269e-08,-2.0944,1.5708,1.5708,0.785397,0.000637818,0.000661987,0.000759514,0.000731118,0.000269073,-0.00030611,0.000914966,0,0,0,0,0,0,0,-0.529774,-10.213,-0.532163,20.8448,0.751055,-0.649816,0.0972387,-0.506911,-1.05611,-0.110346,2.32335,0.190044,-0.6573,0.15704
5501223,0,-1.57036,-0.522876,0.000131125,-2.09583,1.57078,1.57168,0.785049,-1.5708,-0.523599,6.5269e-08,-2.0944,1.5708,1.5708,0.785397,-0.0001316,0.000441325,-0.0012569,-0.000719014,0.000382832,3.32854e-05,-0.000339459,0,0,0,0,0,0,0,-0.50597,-10.213,-0.456784,20.8963,0.745561,-0.656224,0.122873,-0.507334,-1.05744,-0.110963,2.32399,0.190104,-0.657218,0.157083
5501224,0,-1.57036,-0.522881,0.000134744,-2.09583,1.57078,1.57168,0.785054,-1.5708,-0.523599,6.5269e-08,-2.0944,1.5708,1.5708,0.785397,-0.000737346,-0.00146902,0.000368496,7.74696e-05,5.17711e-05,-0.000215169,0.00143521,0,0,0,0,0,0,0,-0.478199,-10.1377,-0.508359,20.8725,0.751055,-0.649816,0.0780126,-0.507036,-1.05814,-0.110449,2.32438,0.190123,-0.657229,0.157145
5501225,0,-1.57036,-0.522877,0.000138363,-2.09583,1.57078,1.57168,0.78505,-1.5708,-0.523599,6.5269e-08,-2.0944,1.5708,1.5708,0.785397,0.000714861,0.000227078,0.00145209,0.00070126,-0.000406295,0.000331272,-0.000467349,0,0,0,0,0,0,0,-0.529774,-10.1892,-0.559934,20.8448,0.762956,-0.662633,0.116465,-0.506905,-1.05629,-0.110272,2.32358,0.190102,-0.657175,0.157208
5501226,0,-1.57036,-0.522877,0.000134744,-2.09583,1.57078,1.57168,0.785046,-1.5708,-0.523599,6.5269e-08,-2.0944,1.5708,1.5708,0.785397,-8.0238e-05,0.000151385,-0.000238366,-0.000182107,0.000169946,-1.65109e-05,-0.00153227,0,0,0,0,0,0,0,-0.50597,-10.1892,-0.508359,20.8725,0.751055,-0.656224,0.149424,-0.507782,-1.05385,-0.111685,2.32231,0.190098,-0.656963,0.157251
5501227,0,-1.57036,-0.522879,0.000134744,-2.09583,1.57078,1.57168,0.785053,-1.5708,-0.523599,6.5269e-08,-2.0944,1.5708,1.5708,0.785397,-5.3492e-05,-0.000455888,-0.000158911,-0.000121405,0.000113297,0.000226352,0.00138599,0,0,0,0,0,0,0,-0.50597,-10.1654,-0.508359,20.8725,0.751055,-0.662633,0.0844213,-0.508485,-1.05239,-0.112811,2.32155,0.190102,-0.65679,0.157284
5501228,0,-1.57036,-0.522877,0.000131125,-2.09583,1.57078,1.57168,0.785048,-1.5708,-0.523599,6.5269e-08,-2.0944,1.5708,1.5708,0.785397,-0.000685275,0.000252886,-0.00131237,0.000568677,-0.000161827,0.000150901,-0.000737523,0,0,0,0,0,0,0,-0.478199,-10.1892,-0.456784,20.8448,0.757463,-0.662633,0.129282,-0.507972,-1.05116,-0.112051,2.32096,0.190059,-0.656808,0.15733
5501229,0,-1.57036,-0.522879,0.000136414,-2.09583,1.57078,1.57169,0.78505,-1.5708,-0.523599,6.5269e-08,-2.0944,1.5708,1.5708,0.785397,0.000749575,-0.000388221,-0.00533402,0.00093593,0.000129474,0.00033796,-1.69638e-05,0,0,0,0,0,0,0,-0.529774,-10.1654,-0.532163,20.821,0.751055,-0.669042,0.116465,-0.505081,-1.0497,-0.107359,2.31993,0.189891,-0.657193,0.157381
5501230,0,-1.57036,-0.522876,0.000133073,-2.09583,1.57078,1.57168,0.785049,-1.5708,-0.523599,6.5269e-08,-2.0944,1.5708,1.5708,0.785397,-5.7095e-05,0.00085481,-0.00518817,6.71416e-05,-0.000151043,-1.20525e-05,-0.000248668,0,0,0,0,0,0,0,-0.50597,-10.213,-0.484555,20.8448,0.757463,-0.662633,0.122873,-0.498838,-1.0486,-0.0969309,2.3187,0.189558,-0.658104,0.157431
5501231,0,-1.57036,-0.522874,0.000134744,-2.09583,1.57078,1.57168,0.785049,-1.5708,-0.523599,6.5269e-08,-2.0944,1.5708,1.5708,0.785397,-3.80633e-05,0.00121949,-0.00329086,-0.00116166,0.000136664,-8.03499e-06,-0.000165779,0,0,0,0,0,0,0,-0.50597,-10.2408,-0.508359,20.8963,0.751055,-0.662633,0.122873,-0.490668,-1.05049,-0.0832154,2.31909,0.189194,-0.659359,0.15749
5501232,0,-1.57036,-0.522879,0.000136414,-2.09583,1.57078,1.57168,0.785053,-1.5708,-0.523599,6.5269e-08,-2.0944,1.5708,1.5708,0.785397,-2.53755e-05,-0.000950246,-0.00192877,0.000988795,-0.00014625,-0.000480075,0.00107628,0,0,0,0,0,0,0,-0.50597,-10.1654,-0.532163,20.821,0.757463,-0.649816,0.09083,-0.483422,-1.05413,-0.0710553,2.3207,0.188918,-0.660509,0.157569
5501233,0,-1.57036,-0.522877,0.000134744,-2.09583,1.57078,1.57168,0.785048,-1.5708,-0.523599,6.5269e-08,-2.0944,1.5708,1.5708,0.785397,-1.6917e-05,-7.66856e-05,-0.00206141,-0.00110404,-9.74999e-05,0.000154668,-0.000943996,0,0,0,0,0,0,0,-0.50597,-10.1892,-0.508359,20.8963,0.757463,-0.662633,0.135691,-0.478562,-1.05565,-0.0628656,2.32147,0.188721,-0.661281,0.157664
5501234,0,-1.57036,-0.522879,0.000134744,-2.09583,1.57078,1.57168,0.785053,-1.5708,-0.523599,6.5269e-08,-2.0944,1.5708,1.5708,0.785397,-0.000660891,-0.000607936,-0.00153834,-0.000736028,0.000172359,0.000103112,0.00126954,0,0,0,0,0,0,0,-0.478199,-10.1654,-0.508359,20.8963,0.751055,-0.662633,0.0844213,-0.475706,-1.05573,-0.0581187,2.32197,0.188616,-0.661733,0.15776
5501235,0,-1.57036,-0.522876,0.000136414,-2.09583,1.57078,1.57169,0.785046,-1.5708,-0.523599,6.5269e-08,-2.0944,1.5708,1.5708,0.785397,0.000209019,0.000708333,-0.000591798,0.00127255,0.000114906,0.0003061,-0.00156114,0,0,0,0,0,0,0,-0.50597,-10.213,-0.532163,20.821,0.751055,-0.669042,0.149424,-0.474597,-1.05566,-0.0564136,2.32251,0.188598,-0.661924,0.15785
5501236,0,-1.57036,-0.522877,0.000133073,-2.09583,1.57078,1.57169,0.785051,-1.5708,-0.523599,6.5269e-08,-2.0944,1.5708,1.5708,0.785397,0.000139346,-8.45897e-05,-0.00160044,-0.000914869,0.000280055,0.000441426,0.000654663,0,0,0,0,0,0,0,-0.50597,-10.1892,-0.484555,20.8963,0.745561,-0.67545,0.103647,-0.475167,-1.05576,-0.0575116,2.32276,0.188638,-0.66188,0.157938
5501237,0,-1.57036,-0.522877,0.000134744,-2.09583,1.57078,1.57168,0.785052,-1.5708,-0.523599,6.5269e-08,-2.0944,1.5708,1.5708,0.785397,9.28974e-05,-5.63931e-05,-0.000579365,0.00115332,-1.67475e-05,-0.000417793,0.000673801,0,0,0,0,0,0,0,-0.50597,-10.1892,-0.508359,20.821,0.751055,-0.656224,0.0972387,-0.476812,-1.05586,-0.060355,2.32285,0.188703,-0.661695,0.158035
5501238,0,-1.57036,-0.522879,0.000134744,-2.09583,1.57078,1.57168,0.78505,-1.5708,-0.523599,6.5269e-08,-2.0944,1.5708,1.5708,0.785397,0.000618744,-0.000594407,-0.000438155,-0.000437543,-0.000248524,-4.11697e-05,-2.55173e-05,0,0,0,0,0,0,0,-0.529774,-10.1654,-0.508359,20.8725,0.757463,-0.662633,0.110056,-0.479447,-1.05481,-0.0647501,2.32229,0.188769,-0.661367,0.158136
5501239,0,-1.57036,-0.522879,0.000134744,-2.09583,1.57078,1.57169,0.785052,-1.5708,-0.523599,6.5269e-08,-2.0944,1.5708,1.5708,0.785397,-0.000144316,-0.000396272,-0.000331037,0.000357919,-0.000369133,0.000209912,0.000457706,0,0,0,0,0,0,0,-0.50597,-10.1654,-0.508359,20.8448,0.762956,-0.669042,0.0972387,-0.48295,-1.05262,-0.0704954,2.32123,0.188845,-0.660908,0.158217
5501240,0,-1.57036,-0.522876,0.000133073,-2.09583,1.57078,1.57168,0.785049,-1.5708,-0.523599,6.5269e-08,-2.0944,1.5708,1.5708,0.785397,-9.62108e-05,0.000849443,-0.000806703,-0.000411001,0.000398171,-0.000334776,-0.000644298,0,0,0,0,0,0,0,-0.50597,-10.213,-0.484555,20.8725,0.745561,-0.656224,0.122873,-0.486466,-1.05111,-0.0762829,2.32062,0.188944,-0.660466,0.158266
5501241,0,-1.57036,-0.522877,0.000134744,-2.09583,1.57078,1.57168,0.785051,-1.5708,-0.523599,6.5269e-08,-2.0944,1.5708,1.5708,0.785397,-0.000713754,9.48329e-06,-2.8904e-06,-0.000274001,6.1997e-05,1.41748e-05,0.000282545,0,0,0,0,0,0,0,-0.478199,-10.1892,-0.508359,20.8725,0.751055,-0.662633,0.103647,-0.489471,-1.05175,-0.0813331,2.32115,0.189073,-0.660129,0.158283
5501242,0,-1.57036,-0.522879,0.000136414,-2.09583,1.57078,1.57168,0.785045,-1.5708,-0.523599,6.5269e-08,-2.0944,1.5708,1.5708,0.785397,0.000173777,-0.00055049,0.00053846,-0.000182667,4.13313e-05,-0.000227909,-0.00174442,0,0,0,0,0,0,0,-0.50597,-10.1654,-0.532163,20.8725,0.751055,-0.656224,0.155832,-0.492412,-1.05288,-0.0863624,2.32208,0.189221,-0.6598,0.158282
5501243,0,-1.57036,-0.522879,0.000134744,-2.09583,1.57078,1.57168,0.785054,-1.5708,-0.523599,6.5269e-08,-2.0944,1.5708,1.5708,0.785397,-0.00109057,-0.000366993,-0.000210158,0.00108465,-0.000209805,-0.000389298,0.00171927,0,0,0,0,0,0,0,-0.454395,-10.1654,-0.508359,20.821,0.757463,-0.649816,0.0780126,-0.49543,-1.05222,-0.0915917,2.32203,0.189335,-0.659424,0.158292
