duration, success rate, q[0], q[1], q[2], q[3], q[4], q[5], q[6],q_d[0], q_d[1], q_d[2], q_d[3], q_d[4], q_d[5], q_d[6],dq[0], dq[1], dq[2], dq[3], dq[4], dq[5], dq[6],dq_d[0], dq_d[1], dq_d[2], dq_d[3], dq_d[4], dq_d[5], dq_d[6],tau_J[0], tau_J[1], tau_J[2], tau_J[3], tau_J[4], tau_J[5], tau_J[6],tau_ext_hat_filtered[0], tau_ext_hat_filtered[1], tau_ext_hat_filtered[2], tau_ext_hat_filtered[3], tau_ext_hat_filtered[4], tau_ext_hat_filtered[5], tau_ext_hat_filtered[6]
5649897,0,-1.57063,-0.522908,-2.35204e-05,-2.09649,-0.000715506,1.57131,0.785167,-1.5708,-0.523598,-2.40999e-07,-2.0944,-9.94096e-07,1.5708,0.785397,-0.000417956,-0.000336539,0.000178742,-0.000244452,0.000262913,0.000108111,-0.00123228,0,0,0,0,0,0,0,-0.125111,-10.1654,-0.484555,21.5152,1.30586,1.32772,0.110056,-0.126821,-1.00052,-0.00844085,2.90965,0.575852,-0.339618,0.0715658
5661546,0,-1.57064,-0.522921,-1.69739e-05,-2.09648,-0.000712583,1.57131,0.785181,-1.5708,-0.523598,-2.40999e-07,-2.0944,-9.94096e-07,1.5708,0.785397,-0.000816072,-0.000445325,5.89069e-05,-0.000229838,-0.000148717,-0.00013811,0.00191973,0,0,0,0,0,0,0,-0.101307,-10.0623,-0.532163,21.416,1.32234,1.31491,0.0258276,-0.138325,-0.954701,-0.051383,2.88356,0.604101,-0.352877,0.0723921
5661547,0,-1.57064,-0.522918,-1.86509e-05,-2.09648,-0.000713193,1.5713,0.785174,-1.5708,-0.523598,-2.40999e-07,-2.0944,-9.94096e-07,1.5708,0.785397,-0.000544048,0.000909543,-0.000517541,-0.00135965,-0.000302595,0.000145285,-0.00183976,0,0,0,0,0,0,0,-0.101307,-10.1139,-0.508359,21.4676,1.32784,1.3085,0.110056,-0.138291,-0.956809,-0.0516047,2.88508,0.604107,-0.352778,0.0723054
5661548,0,-1.57064,-0.52292,-1.65225e-05,-2.09648,-0.000711362,1.57131,0.78518,-1.5708,-0.523598,-2.40999e-07,-2.0944,-9.94096e-07,1.5708,0.785397,-0.000362699,4.95499e-05,-0.000345027,-0.000349622,0.000408622,9.68569e-05,0.000435009,0,0,0,0,0,0,0,-0.101307,-10.0901,-0.508359,21.4438,1.31136,1.3085,0.0651953,-0.137361,-0.960176,-0.0505699,2.88745,0.604182,-0.352613,0.0722166
5661549,0,-1.57064,-0.522923,-1.43244e-05,-2.09648,-0.000711972,1.57131,0.785173,-1.5708,-0.523598,-2.40999e-07,-2.0944,-9.94096e-07,1.5708,0.785397,0.000315013,-0.00117339,0.000976408,-0.000233081,6.89638e-05,-0.000410147,-0.00184622,0,0,0,0,0,0,0,-0.125111,-10.0385,-0.559934,21.4438,1.31685,1.32131,0.122873,-0.136573,-0.962463,-0.0497868,2.88931,0.604246,-0.352503,0.0721441
5661550,0,-1.57063,-0.522921,-1.67469e-05,-2.09648,-0.000712583,1.57131,0.785175,-1.5708,-0.523598,-2.40999e-07,-2.0944,-9.94096e-07,1.5708,0.785397,0.000210008,-0.00022545,1.3246e-06,0.000494226,-0.000157475,-3.60722e-05,-0.000756099,0,0,0,0,0,0,0,-0.125111,-10.0623,-0.532163,21.416,1.32234,1.31491,0.110056,-0.136724,-0.961559,-0.0504382,2.88943,0.604228,-0.352554,0.0721205
5661551,0,-1.57063,-0.522921,-1.69048e-05,-2.09648,-0.000713193,1.5713,0.785181,-1.5708,-0.523598,-2.40999e-07,-2.0944,-9.94096e-07,1.5708,0.785397,0.00078962,-0.0001503,8.83064e-07,0.000886296,-0.000308434,-2.40481e-05,0.00139481,0,0,0,0,0,0,0,-0.152882,-10.0623,-0.532163,21.3922,1.32784,1.31491,0.0587866,-0.137397,-0.95884,-0.0518328,2.88819,0.604148,-0.352753,0.0721809
5661552,0,-1.57063,-0.52292,-1.48269e-05,-2.09648,-0.000712583,1.57131,0.785178,-1.5708,-0.523598,-2.40999e-07,-2.0944,-9.94096e-07,1.5708,0.785397,-0.000123201,0.000549414,5.8871e-07,-0.00117237,-2.17188e-06,0.000221327,-1.95652e-05,0,0,0,0,0,0,0,-0.125111,-10.0901,-0.532163,21.4676,1.32234,1.3085,0.0844213,-0.138042,-0.956788,-0.0531314,2.88701,0.604068,-0.35297,0.0723293
5661553,0,-1.57063,-0.522917,-1.21854e-05,-2.09648,-0.000711362,1.5713,0.785179,-1.5708,-0.523598,-2.40999e-07,-2.0944,-9.94096e-07,1.5708,0.785397,0.00056748,0.000366276,0.000650006,-0.00133839,0.000405453,-8.98077e-05,0.000224315,0,0,0,0,0,0,0,-0.152882,-10.0901,-0.559934,21.4914,1.31136,1.31491,0.0780126,-0.138685,-0.957431,-0.0544463,2.88765,0.604037,-0.353018,0.072528
5661554,0,-1.57063,-0.522919,-1.60339e-05,-2.09648,-0.000711972,1.57131,0.785173,-1.5708,-0.523598,-2.40999e-07,-2.0944,-9.94096e-07,1.5708,0.785397,0.00037832,-0.00040543,-0.000216276,0.000870975,6.68516e-05,-5.98718e-05,-0.00174933,0,0,0,0,0,0,0,-0.152882,-10.0623,-0.532163,21.416,1.31685,1.31491,0.129282,-0.139483,-0.959227,-0.055988,2.88922,0.604028,-0.352978,0.0727483
5661555,0,-1.57063,-0.522921,-1.30478e-05,-2.09648,-0.000711972,1.57131,0.785178,-1.5708,-0.523598,-2.40999e-07,-2.0944,-9.94096e-07,1.5708,0.785397,0.000252213,-0.000270287,0.00106224,-0.000625776,4.45677e-05,-3.99145e-05,0.00168209,0,0,0,0,0,0,0,-0.152882,-10.0623,-0.583737,21.4676,1.31685,1.31491,0.0523779,-0.140419,-0.959436,-0.0577128,2.88985,0.60399,-0.353031,0.072996
5661556,0,-1.57063,-0.522919,-1.47477e-05,-2.09648,-0.000713193,1.5713,0.785175,-1.5708,-0.523598,-2.40999e-07,-2.0944,-9.94096e-07,1.5708,0.785397,-0.000481472,0.000469423,-0.000498265,0.000139628,-0.000377189,-0.000263969,-0.00054012,0,0,0,0,0,0,0,-0.125111,-10.0901,-0.532163,21.4438,1.32784,1.32131,0.0972387,-0.141136,-0.958921,-0.0591635,2.89004,0.603948,-0.353128,0.07328
5661557,0,-1.57063,-0.522919,-1.42895e-05,-2.09648,-0.000712583,1.5713,0.78518,-1.5708,-0.523598,-2.40999e-07,-2.0944,-9.94096e-07,1.5708,0.785397,-0.000320981,0.000312949,0.000317437,9.30853e-05,-4.8009e-05,-0.000175979,0.00204742,0,0,0,0,0,0,0,-0.125111,-10.0901,-0.559934,21.4438,1.32234,1.32131,0.0322363,-0.141055,-0.959141,-0.0595161,2.8905,0.603945,-0.353209,0.0735769
5661558,0,-1.57063,-0.522919,-1.67353e-05,-2.09648,-0.000711362,1.57131,0.785178,-1.5708,-0.523598,-2.40999e-07,-2.0944,-9.94096e-07,1.5708,0.785397,0.000435627,-0.000440982,-0.000437989,0.000711671,0.000374895,0.000357398,-9.31169e-05,0,0,0,0,0,0,0,-0.152882,-10.0623,-0.532163,21.416,1.31136,1.3085,0.071604,-0.140422,-0.959067,-0.0590656,2.89056,0.603961,-0.353329,0.0738498
5661559,0,-1.57063,-0.522919,-1.69009e-05,-2.09648,-0.000711972,1.5713,0.78518,-1.5708,-0.523598,-2.40999e-07,-2.0944,-9.94096e-07,1.5708,0.785397,0.00084723,0.000355626,-0.000291993,-0.000731979,4.64795e-05,-0.000236452,0.00041264,0,0,0,0,0,0,0,-0.176685,-10.0901,-0.532163,21.4676,1.31685,1.32131,0.0587866,-0.139865,-0.958234,-0.0585861,2.89019,0.603968,-0.353474,0.0740641
5661560,0,-1.57064,-0.522919,-1.86266e-05,-2.09648,-0.000711362,1.5713,0.785178,-1.5708,-0.523598,-2.40999e-07,-2.0944,-9.94096e-07,1.5708,0.785397,-0.00119842,0.000237084,-0.000751474,0.00071844,0.000234437,-0.000394994,-0.000674342,0,0,0,0,0,0,0,-0.101307,-10.0901,-0.508359,21.416,1.31136,1.32772,0.0844213,-0.139045,-0.957862,-0.0575917,2.89016,0.603992,-0.353569,0.0742045
5661561,0,-1.57063,-0.522917,-1.8645e-05,-2.09648,-0.000713905,1.57131,0.785177,-1.5708,-0.523598,-2.40999e-07,-2.0944,-9.94096e-07,1.5708,0.785397,0.00040748,0.000158056,-0.000500982,0.00103577,-0.000691419,0.000448748,-0.000686921,0,0,0,0,0,0,0,-0.152882,-10.0901,-0.508359,21.3922,1.33425,1.3085,0.09083,-0.137523,-0.957578,-0.0555452,2.88992,0.604038,-0.353679,0.0742816
5661562,0,-1.57063,-0.522919,-1.8191e-05,-2.09648,-0.000710751,1.57131,0.785183,-1.5708,-0.523598,-2.40999e-07,-2.0944,-9.94096e-07,1.5708,0.785397,0.000828466,0.000105371,-0.0008908,-0.000515911,0.000590215,-0.000175553,0.00147483,0,0,0,0,0,0,0,-0.176685,-10.0901,-0.484555,21.4438,1.30586,1.32131,0.038645,-0.135984,-0.956923,-0.0533232,2.88926,0.604073,-0.353818,0.0743275
5661563,0,-1.57064,-0.522915,-1.4142e-05,-2.09648,-0.000712583,1.57131,0.785174,-1.5708,-0.523598,-2.40999e-07,-2.0944,-9.94096e-07,1.5708,0.785397,-0.00121093,0.000627059,0.000519757,-0.000343941,-0.000216875,-0.000117035,-0.000949558,0,0,0,0,0,0,0,-0.101307,-10.1139,-0.532163,21.4438,1.32234,1.32131,0.09083,-0.134911,-0.957202,-0.0516492,2.88939,0.604106,-0.353856,0.0743583
