duration, success rate, q[0], q[1], q[2], q[3], q[4], q[5], q[6],q_d[0], q_d[1], q_d[2], q_d[3], q_d[4], q_d[5], q_d[6],dq[0], dq[1], dq[2], dq[3], dq[4], dq[5], dq[6],dq_d[0], dq_d[1], dq_d[2], dq_d[3], dq_d[4], dq_d[5], dq_d[6],tau_J[0], tau_J[1], tau_J[2], tau_J[3], tau_J[4], tau_J[5], tau_J[6],tau_ext_hat_filtered[0], tau_ext_hat_filtered[1], tau_ext_hat_filtered[2], tau_ext_hat_filtered[3], tau_ext_hat_filtered[4], tau_ext_hat_filtered[5], tau_ext_hat_filtered[6]
3680887,0,-1.57108,-0.522791,-0.000647799,-2.09596,-1.57095,1.5716,0.785658,-1.5708,-0.523599,-6.08659e-08,-2.0944,-1.5708,1.5708,0.785399,-0.000602275,0.000533308,0.000386476,0.000196409,-0.000259792,-6.4066e-06,0.000559647,0,0,0,0,0,0,0,0.32716,-10.2408,0.98334,20.9717,-0.701887,-0.63059,-0.0968531,0.313366,-1.09187,0.817364,2.45389,-0.145339,-0.630931,-0.140446
3680888,1,-1.57107,-0.522789,-0.000645893,-2.09596,-1.57095,1.5716,0.78566,-1.5708,-0.523599,-6.08659e-08,-2.0944,-1.5708,1.5708,0.785399,0.000804909,0.00091235,0.000814462,-0.0015395,-0.000376645,-4.27107e-06,0.00108517,0,0,0,0,0,0,0,0.275585,-10.2646,0.959536,21.0431,-0.696394,-0.63059,-0.116079,0.313052,-1.09467,0.817267,2.45554,-0.145404,-0.63101,-0.140281
3680889,1,-1.57108,-0.522793,-0.000647484,-2.09595,-1.57095,1.5716,0.785654,-1.5708,-0.523599,-6.08659e-08,-2.0944,-1.5708,1.5708,0.785399,-0.00066982,5.14216e-05,-1.38371e-05,0.00129372,0.000359255,-0.000240206,-0.00141278,0,0,0,0,0,0,0,0.32716,-10.2408,0.98334,20.9439,-0.712874,-0.624181,-0.0584009,0.312278,-1.0989,0.816482,2.4579,-0.145493,-0.631164,-0.140114
3680890,1,-1.57108,-0.522792,-0.000649589,-2.09596,-1.57095,1.5716,0.785653,-1.5708,-0.523599,-6.08659e-08,-2.0944,-1.5708,1.5708,0.785399,-0.000446546,0.000591093,-9.2247e-06,-0.000343947,0.000239503,7.72214e-05,-0.00121312,0,0,0,0,0,0,0,0.32716,-10.2646,0.98334,20.9955,-0.712874,-0.63059,-0.0510767,0.311948,-1.10232,0.816246,2.4595,-0.145519,-0.631227,-0.139967
3680891,1,-1.57108,-0.522788,-0.000650108,-2.09596,-1.57095,1.5716,0.78566,-1.5708,-0.523599,-6.08659e-08,-2.0944,-1.5708,1.5708,0.785399,-0.000297698,0.00104368,-0.000655764,0.000327514,-4.37817e-05,-0.000185878,0.00159875,0,0,0,0,0,0,0,0.32716,-10.2924,1.01111,20.9717,-0.707381,-0.624181,-0.116079,0.312482,-1.1055,0.817207,2.46069,-0.145495,-0.631145,-0.139803
3680892,1,-1.57108,-0.522797,-0.000646473,-2.09596,-1.57095,1.5716,0.78566,-1.5708,-0.523599,-6.08659e-08,-2.0944,-1.5708,1.5708,0.785399,0.000358347,-0.00171707,0.00132606,0.000218343,0.000174263,0.00011344,0.000828475,0,0,0,0,0,0,0,0.303356,-10.1892,0.935733,20.9717,-0.712874,-0.63059,-0.10967,0.31303,-1.10752,0.818112,2.46124,-0.145452,-0.631036,-0.139605
3680893,1,-1.57108,-0.522794,-0.000648235,-2.09596,-1.57095,1.5716,0.785652,-1.5708,-0.523599,-6.08659e-08,-2.0944,-1.5708,1.5708,0.785399,-0.000317914,6.1714e-05,-0.000229583,0.000145562,-8.72754e-05,0.000312986,-0.00185518,0,0,0,0,0,0,0,0.32716,-10.2408,0.98334,20.9717,-0.707381,-0.636998,-0.044668,0.312919,-1.1062,0.817865,2.46017,-0.145379,-0.630982,-0.139419
3680894,1,-1.57108,-0.522796,-0.000649657,-2.09596,-1.57095,1.5716,0.785655,-1.5708,-0.523599,-6.08659e-08,-2.0944,-1.5708,1.5708,0.785399,0.000344869,-0.000608471,-0.000802669,9.70412e-05,-5.81836e-05,-2.87018e-05,-0.000253443,0,0,0,0,0,0,0,0.303356,-10.213,1.01111,20.9717,-0.707381,-0.63059,-0.0712183,0.312928,-1.10333,0.817727,2.45842,-0.145279,-0.630889,-0.139253
3680895,1,-1.57108,-0.522788,-0.000649482,-2.09596,-1.57095,1.5716,0.785659,-1.5708,-0.523599,-6.08659e-08,-2.0944,-1.5708,1.5708,0.785399,0.000229913,0.00145039,-0.000535113,-0.000492118,-3.8789e-05,-0.000256493,0.00101783,0,0,0,0,0,0,0,0.303356,-10.2924,1.01111,20.9955,-0.707381,-0.624181,-0.103262,0.313552,-1.10192,0.818632,2.45745,-0.145193,-0.63072,-0.139062
3680896,1,-1.57108,-0.522796,-0.000647474,-2.09596,-1.57095,1.5716,0.785657,-1.5708,-0.523599,-6.08659e-08,-2.0944,-1.5708,1.5708,0.785399,-0.000403537,-0.00200274,0.000292872,-0.00088489,0.000177591,6.63633e-05,-3.35219e-05,0,0,0,0,0,0,0,0.32716,-10.1654,0.98334,21.0193,-0.712874,-0.63059,-0.0840357,0.314295,-1.10193,0.819789,2.4575,-0.145149,-0.630546,-0.138837
