duration, success rate, q[0], q[1], q[2], q[3], q[4], q[5], q[6],q_d[0], q_d[1], q_d[2], q_d[3], q_d[4], q_d[5], q_d[6],dq[0], dq[1], dq[2], dq[3], dq[4], dq[5], dq[6],dq_d[0], dq_d[1], dq_d[2], dq_d[3], dq_d[4], dq_d[5], dq_d[6],tau_J[0], tau_J[1], tau_J[2], tau_J[3], tau_J[4], tau_J[5], tau_J[6],tau_ext_hat_filtered[0], tau_ext_hat_filtered[1], tau_ext_hat_filtered[2], tau_ext_hat_filtered[3], tau_ext_hat_filtered[4], tau_ext_hat_filtered[5], tau_ext_hat_filtered[6]
4341443,0,-1.57043,-0.522901,-5.46498e-05,-2.09645,1.57046,1.5716,0.785031,-1.5708,-0.523598,6.6685e-07,-2.0944,1.5708,1.5708,0.785397,-0.00049735,-0.000760989,0.000790613,0.000405012,-8.68894e-05,0.000220103,0.00043594,0,0,0,0,0,0,0,-0.430592,-10.1654,-0.484555,21.416,0.86458,-0.656224,0.110056,-0.456009,-1.05711,-0.0633613,2.89548,0.297602,-0.652893,0.170822
4341444,1,-1.57043,-0.5229,-5.66909e-05,-2.09646,1.57046,1.5716,0.785027,-1.5708,-0.523598,6.6685e-07,-2.0944,1.5708,1.5708,0.785397,0.000225245,4.94859e-05,-0.000679351,-0.00149323,0.000348975,0.000146735,-0.00116587,0,0,0,0,0,0,0,-0.454395,-10.1892,-0.432981,21.4914,0.853594,-0.656224,0.149424,-0.455386,-1.05478,-0.0625124,2.89427,0.297501,-0.652904,0.170864
4341445,1,-1.57043,-0.522899,-5.78353e-05,-2.09646,1.57046,1.57161,0.785033,-1.5708,-0.523598,6.6685e-07,-2.0944,1.5708,1.5708,0.785397,-0.000406648,-0.000523821,-0.00100971,-0.000438675,-0.000174251,9.78235e-05,0.00115671,0,0,0,0,0,0,0,-0.430592,-10.1654,-0.409177,21.4676,0.86458,-0.656224,0.0972387,-0.454509,-1.05342,-0.0612465,2.89403,0.297433,-0.652956,0.170877
4341446,1,-1.57043,-0.522901,-5.59895e-05,-2.09646,1.57046,1.5716,0.78503,-1.5708,-0.523598,6.6685e-07,-2.0944,1.5708,1.5708,0.785397,-0.000271099,-0.000349214,-0.00011633,0.000913976,-0.000523069,0.000302575,-0.000177412,0,0,0,0,0,0,0,-0.430592,-10.1654,-0.432981,21.416,0.875566,-0.662633,0.122873,-0.453098,-1.05203,-0.0591133,2.89381,0.297344,-0.653091,0.170878
4341447,1,-1.57043,-0.522899,-5.23118e-05,-2.09646,1.57046,1.5716,0.785027,-1.5708,-0.523598,6.6685e-07,-2.0944,1.5708,1.5708,0.785397,0.000376079,-0.000232809,0.00112887,-0.000597108,0.000261639,-0.000273001,-0.00110096,0,0,0,0,0,0,0,-0.454395,-10.1654,-0.484555,21.4676,0.859087,-0.649816,0.149424,-0.452314,-1.04979,-0.0579633,2.89286,0.297262,-0.653135,0.170864
4341448,1,-1.57043,-0.522903,-5.42411e-05,-2.09646,1.57046,1.5716,0.785033,-1.5708,-0.523598,6.6685e-07,-2.0944,1.5708,1.5708,0.785397,-0.000306092,-0.00080482,0.000102968,-0.000398072,0.000174426,-0.000182001,0.00119931,0,0,0,0,0,0,0,-0.430592,-10.1377,-0.456784,21.4676,0.859087,-0.649816,0.0972387,-0.452764,-1.04755,-0.0587684,2.89204,0.297249,-0.652998,0.170842
4341449,1,-1.57043,-0.522899,-5.63652e-05,-2.09646,1.57046,1.5716,0.785032,-1.5708,-0.523598,6.6685e-07,-2.0944,1.5708,1.5708,0.785397,0.000909562,0.000669879,6.86453e-05,0.00029143,0.000116284,-0.000358693,0.00056255,0,0,0,0,0,0,0,-0.478199,-10.1892,-0.456784,21.4438,0.859087,-0.643407,0.103647,-0.453727,-1.04594,-0.0603593,2.89169,0.297275,-0.652789,0.170822
4341450,1,-1.57043,-0.522901,-5.49426e-05,-2.09646,1.57046,1.5716,0.785025,-1.5708,-0.523598,6.6685e-07,-2.0944,1.5708,1.5708,0.785397,-0.000507249,-0.000110226,4.57635e-05,-0.000362525,0.000518332,0.000235589,-0.00179483,0,0,0,0,0,0,0,-0.430592,-10.1654,-0.456784,21.4676,0.847185,-0.656224,0.162241,-0.454632,-1.0457,-0.0618085,2.8919,0.297309,-0.652601,0.170784
4341451,1,-1.57043,-0.5229,-5.44685e-05,-2.09646,1.57046,1.57161,0.785028,-1.5708,-0.523598,6.6685e-07,-2.0944,1.5708,1.5708,0.785397,0.000775458,0.000483328,3.0509e-05,0.000315129,-0.000298705,0.00015706,-0.000484265,0,0,0,0,0,0,0,-0.478199,-10.1892,-0.456784,21.4438,0.86458,-0.656224,0.143015,-0.455303,-1.04662,-0.0628902,2.89261,0.297341,-0.652459,0.170727
4341452,1,-1.57043,-0.522903,-5.06911e-05,-2.09645,1.57047,1.57161,0.785035,-1.5708,-0.523598,6.6685e-07,-2.0944,1.5708,1.5708,0.785397,-3.984e-05,-0.000884207,0.00122677,0.0008597,0.000207764,0.000342065,0.00208481,0,0,0,0,0,0,0,-0.454395,-10.1377,-0.508359,21.416,0.853594,-0.662633,0.0780126,-0.456188,-1.0469,-0.0643047,2.89283,0.297347,-0.652286,0.170698
