duration, success rate, q[0], q[1], q[2], q[3], q[4], q[5], q[6],q_d[0], q_d[1], q_d[2], q_d[3], q_d[4], q_d[5], q_d[6],dq[0], dq[1], dq[2], dq[3], dq[4], dq[5], dq[6],dq_d[0], dq_d[1], dq_d[2], dq_d[3], dq_d[4], dq_d[5], dq_d[6],tau_J[0], tau_J[1], tau_J[2], tau_J[3], tau_J[4], tau_J[5], tau_J[6],tau_ext_hat_filtered[0], tau_ext_hat_filtered[1], tau_ext_hat_filtered[2], tau_ext_hat_filtered[3], tau_ext_hat_filtered[4], tau_ext_hat_filtered[5], tau_ext_hat_filtered[6]
1143991,0,-1.57091,-0.523045,0.000365387,-2.09653,-0.00075579,1.5711,0.784956,-1.5708,-0.523599,1.04586e-07,-2.0944,2.43681e-07,1.5708,0.785398,0.000633423,0.00112429,0.000217037,0.000238576,-0.000183365,0.000166137,0.00116337,0,0,0,0,0,0,0,0.124828,-9.98691,-0.940793,21.666,1.45235,1.4559,0.226328,0.155539,-0.825201,-0.452541,3.12382,0.731797,-0.206278,0.255886
1143992,1,-1.57091,-0.523049,0.000365619,-2.09653,-0.000754569,1.5711,0.78495,-1.5708,-0.523599,1.04586e-07,-2.0944,2.43681e-07,1.5708,0.785398,0.000422282,-0.000456901,0.000701503,0.000159051,0.000284658,-0.00036396,-0.0011572,0,0,0,0,0,0,0,0.124828,-9.93533,-0.964597,21.666,1.44136,1.46871,0.278513,0.154883,-0.825104,-0.453367,3.12413,0.731758,-0.206289,0.255957
1143993,1,-1.57092,-0.523047,0.00036198,-2.09653,-0.000755179,1.5711,0.784953,-1.5708,-0.523599,1.04586e-07,-2.0944,2.43681e-07,1.5708,0.785398,-0.000924904,0.000345013,-0.00129557,-0.000450778,-1.36788e-05,0.000232078,0.00017797,0,0,0,0,0,0,0,0.176403,-9.9631,-0.889218,21.6898,1.44686,1.4559,0.252878,0.154284,-0.8255,-0.454111,3.12454,0.731729,-0.206314,0.255998
1143994,1,-1.57092,-0.523047,0.000362071,-2.09653,-0.00075579,1.5711,0.78495,-1.5708,-0.523599,1.04586e-07,-2.0944,2.43681e-07,1.5708,0.785398,3.3011e-05,0.000230009,-0.000306901,0.000256293,-0.00021257,-0.000319999,-0.000830789,0,0,0,0,0,0,0,0.148632,-9.9631,-0.913022,21.666,1.45235,1.46871,0.278513,0.154885,-0.826303,-0.453092,3.12515,0.731767,-0.206328,0.256016
1143995,1,-1.57092,-0.523047,0.000361544,-2.09653,-0.000755179,1.5711,0.784956,-1.5708,-0.523599,1.04586e-07,-2.0944,2.43681e-07,1.5708,0.785398,-0.000627607,0.000153339,-0.0002046,0.000727674,6.17374e-05,-0.000213333,0.00137892,0,0,0,0,0,0,0,0.176403,-9.9631,-0.913022,21.6422,1.44686,1.46871,0.226328,0.156114,-0.827252,-0.451142,3.12561,0.731832,-0.206369,0.256038
1143996,1,-1.57092,-0.523047,0.000361828,-2.09653,-0.00075579,1.5711,0.784953,-1.5708,-0.523599,1.04586e-07,-2.0944,2.43681e-07,1.5708,0.785398,-0.000418404,0.000102226,-0.000693212,-7.16959e-05,-0.000162292,-0.000142222,-6.40638e-05,0,0,0,0,0,0,0,0.176403,-9.9631,-0.889218,21.666,1.45235,1.46871,0.252878,0.157449,-0.827712,-0.449057,3.12558,0.731893,-0.206455,0.256063
1143997,1,-1.57092,-0.523049,0.000366099,-2.09653,-0.000755179,1.5711,0.784955,-1.5708,-0.523599,1.04586e-07,-2.0944,2.43681e-07,1.5708,0.785398,-0.000835748,6.81508e-05,0.000744284,-0.000604609,9.52557e-05,-0.000332174,0.000669368,0,0,0,0,0,0,0,0.200207,-9.9631,-0.940793,21.6898,1.44686,1.47512,0.233652,0.158759,-0.828258,-0.447093,3.12577,0.731964,-0.206495,0.256072
1143998,1,-1.57092,-0.523049,0.000362697,-2.09653,-0.000755179,1.5711,0.78495,-1.5708,-0.523599,1.04586e-07,-2.0944,2.43681e-07,1.5708,0.785398,0.00064926,-0.00060418,-0.000710236,0.000153739,6.35038e-05,0.000490628,-0.00121527,0,0,0,0,0,0,0,0.148632,-9.93533,-0.889218,21.666,1.44686,1.4559,0.278513,0.159532,-0.828561,-0.445987,3.12617,0.732024,-0.206476,0.25605
1143999,1,-1.57092,-0.523044,0.000360639,-2.09653,-0.000755179,1.5711,0.78495,-1.5708,-0.523599,1.04586e-07,-2.0944,2.43681e-07,1.5708,0.785398,0.00043284,0.00136045,-0.000473491,-0.00110393,4.23359e-05,-0.000384992,-0.000810178,0,0,0,0,0,0,0,0.148632,-10.0107,-0.889218,21.7176,1.44686,1.47512,0.278513,0.159792,-0.82923,-0.445512,3.12694,0.732071,-0.206401,0.256004
1144000,1,-1.57092,-0.523047,0.000363572,-2.09653,-0.000755179,1.5711,0.784953,-1.5708,-0.523599,1.04586e-07,-2.0944,2.43681e-07,1.5708,0.785398,0.00028856,-0.000206656,0.000890765,0.00047047,2.82239e-05,0.000218057,0.000409317,0,0,0,0,0,0,0,0.148632,-9.9631,-0.940793,21.666,1.44686,1.46231,0.252878,0.15945,-0.831391,-0.445787,3.12852,0.732102,-0.206251,0.25597
1144001,0.99,-1.57092,-0.523045,0.000365474,-2.09653,-0.000757765,1.5711,0.784957,-1.5708,-0.523599,1.04586e-07,-2.0944,2.43681e-07,1.5708,0.785398,0.000192373,0.000419041,0.000593844,0.00152007,0.000222266,-9.19877e-05,0.00149358,0,0,0,0,0,0,0,0.148632,-9.98691,-0.940793,21.6144,1.44136,1.46871,0.219919,0.158184,-0.83287,-0.447438,3.12933,0.732064,-0.206186,0.255974
1144002,0.99,-1.57091,-0.523045,0.000364159,-2.09653,-0.000756245,1.5711,0.784952,-1.5708,-0.523599,1.04586e-07,-2.0944,2.43681e-07,1.5708,0.785398,0.000685061,0.000279361,-0.000253718,0.000363768,-5.52729e-05,0.000413393,-0.000462341,0,0,0,0,0,0,0,0.124828,-9.98691,-0.913022,21.6422,1.44686,1.4559,0.259287,0.156472,-0.832742,-0.449731,3.12866,0.731964,-0.206274,0.255986
1144003,0.99,-1.57092,-0.523047,0.000364371,-2.09653,-0.000754314,1.5711,0.78495,-1.5708,-0.523599,1.04586e-07,-2.0944,2.43681e-07,1.5708,0.785398,-0.000749719,-0.000370572,-0.000169145,-0.000871112,0.000370052,-0.000199123,-0.0010203,0,0,0,0,0,0,0,0.176403,-9.9631,-0.913022,21.6898,1.43587,1.46871,0.278513,0.155262,-0.832379,-0.451231,3.1279,0.731883,-0.206354,0.255969
1144004,0.99,-1.57092,-0.523047,0.000364259,-2.09653,-0.000756518,1.5711,0.784948,-1.5708,-0.523599,1.04586e-07,-2.0944,2.43681e-07,1.5708,0.785398,0.000149802,-0.000247048,0.00053685,0.0011825,-0.0005671,0.000341969,-0.00139228,0,0,0,0,0,0,0,0.148632,-9.9631,-0.940793,21.6144,1.45784,1.4559,0.297739,0.154718,-0.831486,-0.451797,3.12723,0.731836,-0.206393,0.255934
1144005,0.99,-1.57092,-0.523049,0.000365703,-2.09653,-0.000759025,1.5711,0.784951,-1.5708,-0.523599,1.04586e-07,-2.0944,2.43681e-07,1.5708,0.785398,-0.00110656,-0.000164698,0.0003579,-0.00162452,-0.000174616,-0.000484097,2.12493e-05,0,0,0,0,0,0,0,0.200207,-9.9631,-0.940793,21.7176,1.45235,1.47512,0.272104,0.154434,-0.830128,-0.452128,3.12655,0.731803,-0.206416,0.255932
1144006,0.99,-1.57091,-0.523044,0.000366185,-2.09653,-0.000756868,1.5711,0.784956,-1.5708,-0.523599,1.04586e-07,-2.0944,2.43681e-07,1.5708,0.785398,0.00102553,0.00100382,0.0002386,0.000123412,-0.000116411,0.000389345,0.00170959,0,0,0,0,0,0,0,0.124828,-10.0107,-0.940793,21.666,1.45235,1.4559,0.226328,0.154166,-0.830302,-0.452541,3.127,0.731797,-0.206328,0.256001
1144007,0.99,-1.57091,-0.523049,0.000362266,-2.09653,-0.000754928,1.5711,0.784954,-1.5708,-0.523599,1.04586e-07,-2.0944,2.43681e-07,1.5708,0.785398,0.000683688,-0.00109402,-0.000490547,-0.000474537,0.000329294,-0.000215154,0.00039374,0,0,0,0,0,0,0,0.124828,-9.93533,-0.913022,21.6898,1.44136,1.46871,0.24647,0.153648,-0.831528,-0.453215,3.12812,0.731797,-0.206184,0.256122
1144008,0.99,-1.57092,-0.523049,0.000361609,-2.09653,-0.000754689,1.5711,0.784954,-1.5708,-0.523599,1.04586e-07,-2.0944,2.43681e-07,1.5708,0.785398,-0.000750634,-0.000729347,-0.000327031,0.000797266,0.000219529,9.39227e-05,0.000262493,0,0,0,0,0,0,0,0.176403,-9.93533,-0.913022,21.6422,1.44136,1.46231,0.24647,0.153378,-0.830705,-0.453387,3.12808,0.731792,-0.206141,0.256233
1144009,0.99,-1.57091,-0.523045,0.000363339,-2.09653,-0.000754609,1.5711,0.784952,-1.5708,-0.523599,1.04586e-07,-2.0944,2.43681e-07,1.5708,0.785398,0.000706003,0.000720194,0.000431593,0.00053151,0.000146353,6.26152e-05,-0.000537081,0,0,0,0,0,0,0,0.124828,-9.98691,-0.940793,21.6422,1.44136,1.46231,0.265696,0.15354,-0.828344,-0.452923,3.12689,0.731781,-0.206214,0.256305
1144010,0.99,-1.57092,-0.523045,0.000363448,-2.09653,-0.000755193,1.5711,0.784955,-1.5708,-0.523599,1.04586e-07,-2.0944,2.43681e-07,1.5708,0.785398,-8.6143e-05,0.000480129,-0.000361885,0.00100395,-0.000105882,0.000279102,0.000591381,0,0,0,0,0,0,0,0.148632,-9.98691,-0.913022,21.6144,1.44686,1.4559,0.240061,0.153543,-0.827165,-0.452672,3.12571,0.73175,-0.206332,0.256346
