duration, success rate, q[0], q[1], q[2], q[3], q[4], q[5], q[6],q_d[0], q_d[1], q_d[2], q_d[3], q_d[4], q_d[5], q_d[6],dq[0], dq[1], dq[2], dq[3], dq[4], dq[5], dq[6],dq_d[0], dq_d[1], dq_d[2], dq_d[3], dq_d[4], dq_d[5], dq_d[6],tau_J[0], tau_J[1], tau_J[2], tau_J[3], tau_J[4], tau_J[5], tau_J[6],tau_ext_hat_filtered[0], tau_ext_hat_filtered[1], tau_ext_hat_filtered[2], tau_ext_hat_filtered[3], tau_ext_hat_filtered[4], tau_ext_hat_filtered[5], tau_ext_hat_filtered[6]
1003258,0,-1.57038,-0.522869,0.000361281,-2.09648,-0.00137794,1.56967,0.785238,-1.57079,-0.523598,1.33478e-06,-2.0944,-3.00001e-07,1.5708,0.785397,0.000466456,-0.00084601,-0.00112728,0.000384322,-0.000321231,-0.000292806,0.00140981,0,0,0,0,0,0,0,-0.50597,-10.1139,-0.913022,21.3922,1.83138,2.57009,0.110056,-0.482203,-1.0093,-0.480258,2.86011,1.11033,0.895892,0.145383
1003259,1,-1.57038,-0.522868,0.0003649,-2.09648,-0.00137672,1.56967,0.785239,-1.57079,-0.523598,1.33478e-06,-2.0944,-3.00001e-07,1.5708,0.785397,-0.000338643,-7.19494e-06,0.000454907,0.000813027,0.000192747,4.21553e-05,0.000227794,0,0,0,0,0,0,0,-0.478199,-10.1377,-0.964597,21.3684,1.82039,2.56369,0.129282,-0.481806,-1.00954,-0.479239,2.86028,1.11036,0.895906,0.145322
1003260,1,-1.57038,-0.52287,0.000363229,-2.09648,-0.00137794,1.56968,0.785237,-1.57079,-0.523598,1.33478e-06,-2.0944,-3.00001e-07,1.5708,0.785397,0.000423851,-0.000561609,-0.00025354,-1.47941e-05,-0.000278403,-0.000209255,-0.000594123,0,0,0,0,0,0,0,-0.50597,-10.1139,-0.940793,21.3922,1.83138,2.57009,0.149424,-0.481637,-1.00774,-0.478538,2.8592,1.11035,0.895805,0.145237
1003261,1,-1.57038,-0.522868,0.00036657,-2.09648,-0.00137855,1.56968,0.785236,-1.57079,-0.523598,1.33478e-06,-2.0944,-3.00001e-07,1.5708,0.785397,-0.000923858,0.000182406,0.000944597,-0.000566675,-0.000389052,0.000335214,-0.0008708,0,0,0,0,0,0,0,-0.454395,-10.1377,-0.988401,21.416,1.83687,2.55728,0.162241,-0.481852,-1.00584,-0.478485,2.85825,1.11033,0.895722,0.145123
1003262,1,-1.57038,-0.522868,0.00036657,-2.09647,-0.00137611,1.56968,0.785236,-1.57079,-0.523598,1.33478e-06,-2.0944,-3.00001e-07,1.5708,0.785397,-5.90931e-05,0.000121604,0.000629731,0.00129265,0.000554434,0.000223476,-0.000580533,0,0,0,0,0,0,0,-0.478199,-10.1377,-0.988401,21.3446,1.8149,2.55728,0.162241,-0.482405,-1.00467,-0.479113,2.8577,1.11032,0.895669,0.145007
1003263,1,-1.57038,-0.522872,0.000363229,-2.09648,-0.00137672,1.56967,0.785232,-1.57079,-0.523598,1.33478e-06,-2.0944,-3.00001e-07,1.5708,0.785397,-0.000596207,-0.00103255,-0.000693803,-0.000808667,0.000166172,-0.000325734,-0.00086174,0,0,0,0,0,0,0,-0.454395,-10.0901,-0.940793,21.416,1.82039,2.57009,0.175059,-0.48286,-1.00324,-0.479738,2.8569,1.11031,0.895584,0.144918
1003264,1,-1.57038,-0.522868,0.000363229,-2.09647,-0.00138114,1.56968,0.785237,-1.57079,-0.523598,1.33478e-06,-2.0944,-3.00001e-07,1.5708,0.785397,0.00015934,0.000425254,-0.000462535,0.00178094,-0.00029612,0.000257562,0.000374942,0,0,0,0,0,0,0,-0.478199,-10.1377,-0.940793,21.3169,1.83138,2.55728,0.149424,-0.482567,-1.00102,-0.479275,2.85562,1.11032,0.895458,0.14488
1003265,1,-1.57038,-0.522865,0.000363229,-2.09648,-0.00138159,1.56967,0.785239,-1.57079,-0.523598,1.33478e-06,-2.0944,-3.00001e-07,1.5708,0.785397,0.000106227,0.00148993,-0.000308357,-0.00113276,6.03739e-06,-6.56509e-05,0.000758588,0,0,0,0,0,0,0,-0.478199,-10.1892,-0.940793,21.416,1.82588,2.56369,0.135691,-0.481842,-1.00058,-0.478128,2.855,1.11036,0.895368,0.144908
1003266,1,-1.57038,-0.52287,0.0003649,-2.09647,-0.00137814,1.56967,0.785238,-1.57079,-0.523598,1.33478e-06,-2.0944,-3.00001e-07,1.5708,0.785397,0.000720431,-0.000769952,0.000351241,0.00156488,0.000207475,0.000193592,0.0012178,0,0,0,0,0,0,0,-0.50597,-10.1139,-0.964597,21.3169,1.82039,2.55728,0.116465,-0.481534,-1.00231,-0.477543,2.85535,1.11038,0.895345,0.144987
1003267,1,-1.57038,-0.522866,0.000363229,-2.09648,-0.0013778,1.56967,0.785239,-1.57079,-0.523598,1.33478e-06,-2.0944,-3.00001e-07,1.5708,0.785397,-0.000726138,4.35106e-05,-0.000322651,-0.000719986,-6.51336e-05,0.000129061,0.00033715,0,0,0,0,0,0,0,-0.454395,-10.1377,-0.940793,21.3922,1.82588,2.55728,0.129282,-0.481663,-1.00307,-0.47761,2.85525,1.11037,0.895289,0.145068
