duration, success rate, q[0], q[1], q[2], q[3], q[4], q[5], q[6],q_d[0], q_d[1], q_d[2], q_d[3], q_d[4], q_d[5], q_d[6],dq[0], dq[1], dq[2], dq[3], dq[4], dq[5], dq[6],dq_d[0], dq_d[1], dq_d[2], dq_d[3], dq_d[4], dq_d[5], dq_d[6],tau_J[0], tau_J[1], tau_J[2], tau_J[3], tau_J[4], tau_J[5], tau_J[6],tau_ext_hat_filtered[0], tau_ext_hat_filtered[1], tau_ext_hat_filtered[2], tau_ext_hat_filtered[3], tau_ext_hat_filtered[4], tau_ext_hat_filtered[5], tau_ext_hat_filtered[6]
749217,0,-1.5703,-0.523402,0.000141152,-2.09649,-0.00156538,1.56987,0.784882,-1.5708,-0.523599,-4.46417e-08,-2.0944,-9.22069e-08,1.5708,0.785398,0.000216836,2.68943e-05,-0.000602777,0.00165278,-0.000456261,-0.000206661,0.000364674,0,0,0,0,0,0,0,-0.632923,-9.45529,-0.81384,21.416,1.92201,2.37692,0.291331,-0.625498,-0.338915,-0.358794,2.95447,1.19464,0.705187,0.306745
749218,1,-1.5703,-0.523402,0.000140519,-2.0965,-0.00156344,1.56987,0.784881,-1.5708,-0.523599,-4.46417e-08,-2.0944,-9.22069e-08,1.5708,0.785398,0.000144558,1.79296e-05,-0.000401851,-0.0012182,0.000340086,-0.000137774,5.75729e-06,0,0,0,0,0,0,0,-0.632923,-9.45529,-0.81384,21.5152,1.90462,2.37692,0.297739,-0.62551,-0.337585,-0.358806,2.95298,1.19458,0.704986,0.306807
749219,1,-1.57029,-0.5234,0.000141978,-2.0965,-0.00156222,1.56987,0.784877,-1.5708,-0.523599,-4.46417e-08,-2.0944,-9.22069e-08,1.5708,0.785398,0.000653184,0.000661567,0.000288911,-0.000255321,0.000633625,0.000382869,-0.00121686,0,0,0,0,0,0,0,-0.656727,-9.48306,-0.837644,21.4914,1.89363,2.3641,0.330698,-0.625611,-0.337697,-0.358798,2.95264,1.19456,0.704912,0.306818
749220,1,-1.5703,-0.5234,0.000140237,-2.0965,-0.00156344,1.56987,0.784877,-1.5708,-0.523599,-4.46417e-08,-2.0944,-9.22069e-08,1.5708,0.785398,-0.00077097,-0.000208569,-0.000364205,-0.000170214,1.55158e-05,1.78868e-05,-0.0010486,0,0,0,0,0,0,0,-0.605152,-9.45529,-0.81384,21.4914,1.90462,2.37051,0.337107,-0.625934,-0.339172,-0.359055,2.95335,1.19456,0.704945,0.306797
749221,1,-1.5703,-0.523401,0.000141884,-2.0965,-0.00156477,1.56987,0.784884,-1.5708,-0.523599,-4.46417e-08,-2.0944,-9.22069e-08,1.5708,0.785398,0.000135634,-0.000139046,0.000314009,-0.0013199,-0.000430466,-0.000225434,0.00194579,0,0,0,0,0,0,0,-0.632923,-9.45529,-0.837644,21.543,1.91652,2.37692,0.265696,-0.62605,-0.340573,-0.359044,2.9543,1.19457,0.705009,0.306786
749222,1,-1.57029,-0.523398,0.000143547,-2.0965,-0.00156477,1.56987,0.784877,-1.5708,-0.523599,-4.46417e-08,-2.0944,-9.22069e-08,1.5708,0.785398,0.000647235,0.00111373,0.000766151,0.000326491,-0.000286977,-0.00015029,-0.000126961,0,0,0,0,0,0,0,-0.656727,-9.50687,-0.861447,21.4914,1.91652,2.37692,0.304148,-0.626547,-0.342424,-0.359613,2.95574,1.19455,0.705115,0.306804
749223,1,-1.5703,-0.523398,0.000141874,-2.0965,-0.00156344,1.56987,0.784872,-1.5708,-0.523599,-4.46417e-08,-2.0944,-9.22069e-08,1.5708,0.785398,-0.000774936,0.000185674,-4.60445e-05,-0.000339151,0.000249491,-0.000100193,-0.00130534,0,0,0,0,0,0,0,-0.605152,-9.48306,-0.837644,21.5152,1.90462,2.37692,0.337107,-0.627554,-0.345166,-0.360937,2.95744,1.19452,0.70522,0.306815
749224,1,-1.57029,-0.523399,0.000140203,-2.0965,-0.00156344,1.56987,0.784879,-1.5708,-0.523599,-4.46417e-08,-2.0944,-9.22069e-08,1.5708,0.785398,0.00124661,-0.000525831,-0.000587508,0.000330711,0.000166328,0.000170564,0.000350474,0,0,0,0,0,0,0,-0.680531,-9.45529,-0.81384,21.4914,1.90462,2.37051,0.304148,-0.628262,-0.346953,-0.361774,2.95842,1.19449,0.705255,0.306811
749225,1,-1.5703,-0.5234,0.000145674,-2.0965,-0.00156477,1.56987,0.784878,-1.5708,-0.523599,-4.46417e-08,-2.0944,-9.22069e-08,1.5708,0.785398,-0.000282548,-0.000907366,0.000721952,0.000220474,-0.000329924,0.000351068,-0.000241069,0,0,0,0,0,0,0,-0.632923,-9.43149,-0.861447,21.4914,1.91652,2.3641,0.316965,-0.628871,-0.345868,-0.362346,2.95785,1.19444,0.705162,0.306818
749226,1,-1.5703,-0.523401,0.000142583,-2.0965,-0.00156416,1.56987,0.784879,-1.5708,-0.523599,-4.46417e-08,-2.0944,-9.22069e-08,1.5708,0.785398,-0.000188365,-4.80989e-05,-7.55108e-05,0.000703795,0.00937921,-3.31362e-06,7.66465e-05,0,0,0,0,0,0,0,-0.632923,-9.45529,-0.837644,21.4676,1.91103,2.37051,0.310557,-0.629657,-0.342459,-0.363147,2.9559,1.19433,0.704952,0.306838
