duration, success rate, q[0], q[1], q[2], q[3], q[4], q[5], q[6],q_d[0], q_d[1], q_d[2], q_d[3], q_d[4], q_d[5], q_d[6],dq[0], dq[1], dq[2], dq[3], dq[4], dq[5], dq[6],dq_d[0], dq_d[1], dq_d[2], dq_d[3], dq_d[4], dq_d[5], dq_d[6],tau_J[0], tau_J[1], tau_J[2], tau_J[3], tau_J[4], tau_J[5], tau_J[6],tau_ext_hat_filtered[0], tau_ext_hat_filtered[1], tau_ext_hat_filtered[2], tau_ext_hat_filtered[3], tau_ext_hat_filtered[4], tau_ext_hat_filtered[5], tau_ext_hat_filtered[6]
3014272,0,-1.57041,-0.522862,0.000380033,-2.09648,-0.00101296,1.57085,0.78575,-1.5708,-0.523598,3.7457e-07,-2.0944,-1.03745e-06,1.5708,0.785399,-0.000995085,1.02662e-07,0.000406374,-0.000882382,-0.000105436,4.56028e-06,0.00136182,0,0,0,0,0,0,0,-0.402821,-10.1377,-0.940793,21.4914,1.50911,1.70126,-0.232351,-0.419756,-1.0056,-0.456685,2.93782,0.794343,0.0299094,-0.20351
3014273,0,-1.57041,-0.52286,0.000381154,-2.09648,-0.00101251,1.57085,0.785744,-1.5708,-0.523598,3.7457e-07,-2.0944,-1.03745e-06,1.5708,0.785399,-1.37762e-05,0.000649682,0.000827728,-3.1443e-05,-0.000273741,3.04019e-06,-0.00122835,0,0,0,0,0,0,0,-0.430592,-10.1654,-0.964597,21.4676,1.5146,1.70126,-0.174673,-0.420264,-1.00673,-0.45715,2.93891,0.794279,0.0300826,-0.203377
3014274,1,-1.57041,-0.52286,0.000377351,-2.09648,-0.00101094,1.57085,0.785742,-1.5708,-0.523598,3.7457e-07,-2.0944,-1.03745e-06,1.5708,0.785399,0.000547628,0.000433122,-0.000654607,0.00053585,0.000224407,2.02679e-06,-0.000344181,0,0,0,0,0,0,0,-0.454395,-10.1654,-0.913022,21.4438,1.50362,1.70126,-0.18749,-0.420762,-1.00884,-0.457649,2.94033,0.794233,0.0302774,-0.203261
3014275,1,-1.57041,-0.522862,0.000379421,-2.09648,-0.00101401,1.57085,0.785746,-1.5708,-0.523598,3.7457e-07,-2.0944,-1.03745e-06,1.5708,0.785399,-0.000191727,-0.000360866,-0.000436405,0.000357233,0.000149605,1.35119e-06,0.00143206,0,0,0,0,0,0,0,-0.430592,-10.1377,-0.913022,21.4438,1.50362,1.70126,-0.232351,-0.420911,-1.01038,-0.457487,2.94103,0.794195,0.0303946,-0.20315
3014276,1,-1.57041,-0.52286,0.00037844,-2.09648,-0.00101245,1.57085,0.785742,-1.5708,-0.523598,3.7457e-07,-2.0944,-1.03745e-06,1.5708,0.785399,0.000428994,0.000409036,-0.000847748,-0.000875468,-0.000103714,9.00796e-07,-0.000232089,0,0,0,0,0,0,0,-0.454395,-10.1654,-0.889218,21.4914,1.50911,1.70126,-0.200308,-0.420426,-1.01107,-0.45623,2.94123,0.794183,0.030478,-0.203041
3014277,1,-1.57041,-0.522864,0.000381829,-2.09648,-0.00101299,1.57085,0.785742,-1.5708,-0.523598,3.7457e-07,-2.0944,-1.03745e-06,1.5708,0.785399,-0.000270816,-0.000933735,0.00119807,0.000529978,0.000575117,6.00531e-07,-0.00110416,0,0,0,0,0,0,0,-0.430592,-10.1139,-0.964597,21.4438,1.49172,1.70126,-0.174673,-0.42003,-1.01121,-0.455028,2.94134,0.79417,0.0305718,-0.202956
3014278,1,-1.57041,-0.522862,0.000375906,-2.09648,-0.00101316,1.57085,0.785748,-1.5708,-0.523598,3.7457e-07,-2.0944,-1.03745e-06,1.5708,0.785399,0.00158269,-6.5678e-05,-0.000964523,-0.000203493,-0.000464299,4.00354e-07,0.000925405,0,0,0,0,0,0,0,-0.50597,-10.1377,-0.889218,21.4676,1.5146,1.70126,-0.219534,-0.420428,-1.00995,-0.454904,2.94076,0.794105,0.0306132,-0.202884
3014279,1,-1.57041,-0.52286,0.000379314,-2.09648,-0.00101496,1.57085,0.785741,-1.5708,-0.523598,3.7457e-07,-2.0944,-1.03745e-06,1.5708,0.785399,-0.00135772,0.000605829,0.000563411,0.00042115,-0.000106082,2.66903e-07,-0.000807217,0,0,0,0,0,0,0,-0.402821,-10.1654,-0.940793,21.4438,1.50911,1.70126,-0.181082,-0.421078,-1.00864,-0.455019,2.93998,0.794016,0.0306257,-0.202808
3014280,1,-1.57041,-0.522864,0.000379244,-2.09648,-0.00101576,1.57085,0.785744,-1.5708,-0.523598,3.7457e-07,-2.0944,-1.03745e-06,1.5708,0.785399,-0.000255534,-0.00080254,0.000375607,0.000280767,-7.07214e-05,1.77935e-07,-0.000300786,0,0,0,0,0,0,0,-0.430592,-10.1139,-0.940793,21.4438,1.50911,1.70126,-0.18749,-0.4214,-1.00789,-0.45473,2.93926,0.793947,0.0306265,-0.20273
3014281,1,-1.57041,-0.522864,0.000379402,-2.09648,-0.00101664,1.57085,0.785745,-1.5708,-0.523598,3.7457e-07,-2.0944,-1.03745e-06,1.5708,0.785399,-0.000170356,-0.000535027,-0.000399209,-0.000369634,-0.000250598,0.000237478,0.000986271,0,0,0,0,0,0,0,-0.430592,-10.1139,-0.913022,21.4676,1.5146,1.69485,-0.219534,-0.421512,-1.00619,-0.454243,2.93806,0.793889,0.030591,-0.202641
