duration, success rate, q[0], q[1], q[2], q[3], q[4], q[5], q[6],q_d[0], q_d[1], q_d[2], q_d[3], q_d[4], q_d[5], q_d[6],dq[0], dq[1], dq[2], dq[3], dq[4], dq[5], dq[6],dq_d[0], dq_d[1], dq_d[2], dq_d[3], dq_d[4], dq_d[5], dq_d[6],tau_J[0], tau_J[1], tau_J[2], tau_J[3], tau_J[4], tau_J[5], tau_J[6],tau_ext_hat_filtered[0], tau_ext_hat_filtered[1], tau_ext_hat_filtered[2], tau_ext_hat_filtered[3], tau_ext_hat_filtered[4], tau_ext_hat_filtered[5], tau_ext_hat_filtered[6]
1869202,0,-1.57035,-0.522968,0.000442983,-2.09646,-0.00118941,1.57076,0.785183,-1.57079,-0.523599,1.42015e-06,-2.0944,-7.93281e-07,1.5708,0.785397,0.000113847,0.000365614,-0.000237604,0.000162838,0.000217213,0.000317345,0.00119608,0,0,0,0,0,0,0,-0.557545,-10.0385,-1.03998,21.5152,1.64461,1.77175,0.116465,-0.556842,-0.896756,-0.575484,2.98951,0.934788,0.105576,0.133459
1869203,1,-1.57035,-0.522966,0.000445126,-2.09646,-0.00118941,1.57076,0.785184,-1.57079,-0.523599,1.42015e-06,-2.0944,-7.93281e-07,1.5708,0.785397,0.00063271,0.000800555,0.000398409,-0.000541055,0.000144809,0.000211564,0.000797388,0,0,0,0,0,0,0,-0.581349,-10.0623,-1.06378,21.543,1.64461,1.77175,0.116465,-0.556338,-0.898254,-0.574658,2.98999,0.934795,0.105702,0.133571
1869204,1,-1.57035,-0.522968,0.000445284,-2.09646,-0.00119073,1.57076,0.785186,-1.57079,-0.523599,1.42015e-06,-2.0944,-7.93281e-07,1.5708,0.785397,0.000421807,-2.31089e-05,0.000265606,0.000845722,-0.00034427,-9.63165e-05,0.00124367,0,0,0,0,0,0,0,-0.581349,-10.0385,-1.06378,21.4914,1.65651,1.77816,0.0972387,-0.556729,-0.90039,-0.575078,2.99071,0.934758,0.105828,0.133691
1869205,1,-1.57035,-0.522968,0.000447286,-2.09646,-0.00118941,1.57076,0.785182,-1.57079,-0.523599,1.42015e-06,-2.0944,-7.93281e-07,1.5708,0.785397,-0.000275608,-1.5406e-05,0.000826685,0.000563815,0.000211296,0.000173148,-0.000595041,0,0,0,0,0,0,0,-0.557545,-10.0385,-1.09155,21.4914,1.64461,1.77175,0.135691,-0.557737,-0.901287,-0.576412,2.99055,0.934674,0.105855,0.13377
1869206,1,-1.57035,-0.522969,0.000443224,-2.09646,-0.0011888,1.57076,0.78518,-1.57079,-0.523599,1.42015e-06,-2.0944,-7.93281e-07,1.5708,0.785397,0.000373074,-0.0012167,-9.84908e-05,-0.000830549,0.000344314,-0.000121927,-0.00114268,0,0,0,0,0,0,0,-0.581349,-9.98691,-1.06378,21.543,1.63912,1.77816,0.155832,-0.558863,-0.900144,-0.577981,2.98943,0.934575,0.105805,0.13378
1869207,1,-1.57035,-0.522969,0.000441309,-2.09646,-0.0011888,1.57076,0.785176,-1.57079,-0.523599,1.42015e-06,-2.0944,-7.93281e-07,1.5708,0.785397,-0.000308096,-0.000254319,-0.00117928,-0.0005537,0.000229543,-0.000318644,-0.000761786,0,0,0,0,0,0,0,-0.557545,-10.0107,-1.01617,21.543,1.63912,1.78457,0.155832,-0.559337,-0.897815,-0.578552,2.98829,0.934514,0.105795,0.133744
1869208,1,-1.57035,-0.522967,0.000443455,-2.09646,-0.00119002,1.57076,0.785182,-1.57079,-0.523599,1.42015e-06,-2.0944,-7.93281e-07,1.5708,0.785397,0.000351414,-0.000169546,-0.000229378,0.000280481,-0.000253872,2.49299e-05,0.000712846,0,0,0,0,0,0,0,-0.581349,-10.0107,-1.03998,21.5152,1.6501,1.77816,0.122873,-0.558815,-0.895613,-0.57754,2.98752,0.934497,0.105834,0.13371
1869209,1,-1.57035,-0.522967,0.000443614,-2.09646,-0.0011888,1.57076,0.785184,-1.57079,-0.523599,1.42015e-06,-2.0944,-7.93281e-07,1.5708,0.785397,-0.000322536,0.000536583,-0.000152918,0.000186987,0.000237653,1.66199e-05,0.000712589,0,0,0,0,0,0,0,-0.557545,-10.0385,-1.03998,21.5152,1.63912,1.77816,0.116465,-0.558018,-0.894376,-0.576046,2.98699,0.934477,0.105871,0.133704
1869210,1,-1.57035,-0.522966,0.000445337,-2.09646,-0.0011888,1.57076,0.785184,-1.57079,-0.523599,1.42015e-06,-2.0944,-7.93281e-07,1.5708,0.785397,-0.000215024,0.000914534,0.000454866,0.00068147,0.000158435,0.000248439,0.00047506,0,0,0,0,0,0,0,-0.557545,-10.0623,-1.06378,21.4914,1.63912,1.77175,0.116465,-0.55748,-0.894763,-0.574947,2.98683,0.934432,0.105901,0.133709
1869211,1,-1.57035,-0.522966,0.000442014,-2.09646,-0.00118941,1.57076,0.785183,-1.57079,-0.523599,1.42015e-06,-2.0944,-7.93281e-07,1.5708,0.785397,-0.000143349,0.000609689,-0.00081038,-0.000102499,-9.78271e-05,0.000165626,0.00102878,0,0,0,0,0,0,0,-0.557545,-10.0623,-1.01617,21.5152,1.64461,1.77175,0.0972387,-0.557044,-0.89687,-0.574021,2.9872,0.934373,0.105944,0.133693
1869212,1,-1.57035,-0.522971,0.00044536,-2.09646,-0.00118941,1.57076,0.785176,-1.57079,-0.523599,1.42015e-06,-2.0944,-7.93281e-07,1.5708,0.785397,-9.55661e-05,-0.00135678,0.000573371,-6.83324e-05,-6.5218e-05,-0.000126942,-0.00124692,0,0,0,0,0,0,0,-0.557545,-9.98691,-1.06378,21.5152,1.64461,1.77816,0.149424,-0.556626,-0.898514,-0.57311,2.98744,0.934299,0.105982,0.133628
1869213,1,-1.57035,-0.522971,0.000443692,-2.09646,-0.00119002,1.57076,0.785179,-1.57079,-0.523599,1.42015e-06,-2.0944,-7.93281e-07,1.5708,0.785397,0.000493101,-0.000904519,-0.000174565,0.000511257,-0.000246929,-8.46278e-05,-0.000831283,0,0,0,0,0,0,0,-0.581349,-9.98691,-1.03998,21.4914,1.6501,1.77816,0.149424,-0.556657,-0.897017,-0.572845,2.98643,0.934178,0.105942,0.13351
