duration, success rate, q[0], q[1], q[2], q[3], q[4], q[5], q[6],q_d[0], q_d[1], q_d[2], q_d[3], q_d[4], q_d[5], q_d[6],dq[0], dq[1], dq[2], dq[3], dq[4], dq[5], dq[6],dq_d[0], dq_d[1], dq_d[2], dq_d[3], dq_d[4], dq_d[5], dq_d[6],tau_J[0], tau_J[1], tau_J[2], tau_J[3], tau_J[4], tau_J[5], tau_J[6],tau_ext_hat_filtered[0], tau_ext_hat_filtered[1], tau_ext_hat_filtered[2], tau_ext_hat_filtered[3], tau_ext_hat_filtered[4], tau_ext_hat_filtered[5], tau_ext_hat_filtered[6]
2946467,0,-1.57096,-0.522844,-0.000596167,-2.09588,-1.57081,1.57149,0.785864,-1.5708,-0.523599,-4.23269e-08,-2.0944,-1.5708,1.5708,0.785399,0.000773423,0.0010279,0.000464461,0.00141637,-7.7599e-05,0.000137595,-0.000519169,0,0,0,0,0,0,0,0.124828,-10.213,0.935733,20.8448,-0.741255,-0.527135,-0.26531,0.152066,-1.05262,0.787347,2.36179,-0.184386,-0.52283,-0.306867
2946468,1,-1.57097,-0.522845,-0.000597838,-2.09588,-1.57081,1.57149,0.785867,-1.5708,-0.523599,-4.23269e-08,-2.0944,-1.5708,1.5708,0.785399,-4.11963e-05,0.000128458,-0.000247171,-0.000262182,0.000151718,0.000329089,0.000603323,0,0,0,0,0,0,0,0.148632,-10.1892,0.959536,20.8963,-0.746748,-0.533544,-0.290945,0.15077,-1.05409,0.785462,2.36209,-0.184338,-0.52303,-0.306876
2946469,1,-1.57096,-0.522844,-0.000596167,-2.09588,-1.57081,1.57149,0.785861,-1.5708,-0.523599,-4.23269e-08,-2.0944,-1.5708,1.5708,0.785399,0.000529348,0.00064245,0.000392031,-0.0007316,0.000541955,-1.79662e-05,-0.00153056,0,0,0,0,0,0,0,0.124828,-10.213,0.935733,20.9201,-0.75865,-0.527135,-0.23876,0.149625,-1.0563,0.783822,2.36284,-0.184294,-0.523223,-0.30697
2946470,1,-1.57097,-0.522844,-0.000596167,-2.09588,-1.57081,1.57149,0.78586,-1.5708,-0.523599,-4.23269e-08,-2.0944,-1.5708,1.5708,0.785399,-0.000203913,0.0004283,0.000261354,6.90785e-05,0.000123944,-0.000486695,-0.00125774,0,0,0,0,0,0,0,0.148632,-10.213,0.935733,20.8963,-0.752241,-0.514318,-0.232351,0.148621,-1.0593,0.782381,2.36438,-0.184281,-0.523406,-0.307118
2946471,1,-1.57096,-0.522847,-0.000597838,-2.09588,-1.57081,1.57149,0.78586,-1.5708,-0.523599,-4.23269e-08,-2.0944,-1.5708,1.5708,0.785399,0.00042087,-0.00082809,-0.000382576,4.60523e-05,-0.000324272,-8.71046e-05,-0.00083849,0,0,0,0,0,0,0,0.124828,-10.1654,0.959536,20.8963,-0.741255,-0.520726,-0.232351,0.147935,-1.06128,0.781362,2.36548,-0.184258,-0.523525,-0.30727
2946472,1,-1.57096,-0.522845,-0.000599508,-2.09588,-1.57081,1.57149,0.785862,-1.5708,-0.523599,-4.23269e-08,-2.0944,-1.5708,1.5708,0.785399,-0.000276232,4.75166e-06,-0.000811863,3.07015e-05,-1.27305e-05,0.000179289,0.000186992,0,0,0,0,0,0,0,0.148632,-10.1892,0.98334,20.8963,-0.746748,-0.527135,-0.252493,0.14802,-1.06092,0.781487,2.36542,-0.184184,-0.523491,-0.307374
2946473,1,-1.57096,-0.522849,-0.000599508,-2.09588,-1.57081,1.57149,0.785862,-1.5708,-0.523599,-4.23269e-08,-2.0944,-1.5708,1.5708,0.785399,-0.000184155,-0.000553644,-0.000541242,-0.000536344,0.000432322,0.000356885,0.000124661,0,0,0,0,0,0,0,0.148632,-10.1654,0.98334,20.9201,-0.75865,-0.533544,-0.252493,0.14896,-1.05939,0.782934,2.36489,-0.184078,-0.523307,-0.307406
2946474,1,-1.57097,-0.522844,-0.000596167,-2.09588,-1.57081,1.57149,0.785865,-1.5708,-0.523599,-4.23269e-08,-2.0944,-1.5708,1.5708,0.785399,-0.00012277,0.000744528,0.000752796,0.000199249,5.0856e-05,5.64434e-07,0.00103254,0,0,0,0,0,0,0,0.148632,-10.213,0.935733,20.8963,-0.752241,-0.527135,-0.278127,0.149975,-1.05819,0.784515,2.36462,-0.183992,-0.523119,-0.307371
2946475,1,-1.57097,-0.522846,-0.000601457,-2.09588,-1.57081,1.57149,0.785865,-1.5708,-0.523599,-4.23269e-08,-2.0944,-1.5708,1.5708,0.785399,-0.000731461,-6.04601e-05,-0.00126137,0.00133926,3.3904e-05,3.76289e-07,0.000688362,0,0,0,0,0,0,0,0.176403,-10.1892,1.01111,20.8448,-0.752241,-0.527135,-0.278127,0.150817,-1.0575,0.785825,2.36422,-0.183926,-0.522981,-0.307301
2946476,1,-1.57096,-0.522846,-0.000596167,-2.09588,-1.57081,1.57149,0.785865,-1.5708,-0.523599,-4.23269e-08,-2.0944,-1.5708,1.5708,0.785399,0.0012756,-4.03067e-05,0.000922322,-0.000870399,2.26027e-05,0.00023761,0.000458908,0,0,0,0,0,0,0,0.101024,-10.1892,0.935733,20.9201,-0.752241,-0.533544,-0.278127,0.151485,-1.05669,0.786922,2.3634,-0.183868,-0.522887,-0.307237
2946477,1,-1.57097,-0.522842,-0.000597838,-2.09588,-1.57081,1.57149,0.785867,-1.5708,-0.523599,-4.23269e-08,-2.0944,-1.5708,1.5708,0.785399,-0.000263226,0.00117955,5.80694e-05,0.00118297,1.50685e-05,-7.89524e-05,0.00101802,0,0,0,0,0,0,0,0.148632,-10.2408,0.959536,20.8448,-0.752241,-0.527135,-0.297354,0.151152,-1.05664,0.786654,2.36294,-0.183871,-0.522965,-0.307208
