duration, success rate, q[0], q[1], q[2], q[3], q[4], q[5], q[6],q_d[0], q_d[1], q_d[2], q_d[3], q_d[4], q_d[5], q_d[6],dq[0], dq[1], dq[2], dq[3], dq[4], dq[5], dq[6],dq_d[0], dq_d[1], dq_d[2], dq_d[3], dq_d[4], dq_d[5], dq_d[6],tau_J[0], tau_J[1], tau_J[2], tau_J[3], tau_J[4], tau_J[5], tau_J[6],tau_ext_hat_filtered[0], tau_ext_hat_filtered[1], tau_ext_hat_filtered[2], tau_ext_hat_filtered[3], tau_ext_hat_filtered[4], tau_ext_hat_filtered[5], tau_ext_hat_filtered[6]
1412745,0,-1.57083,-0.52317,3.84466e-05,-2.09593,1.56984,1.5702,0.785748,-1.5708,-0.523599,6.16779e-08,-2.09439,1.5708,1.5708,0.785398,-0.000992457,0.00038105,0.000788762,-9.17297e-05,-7.73951e-05,0.000157184,-0.000964676,0,0,0,0,0,0,0,0.0732535,-9.88773,-0.456784,20.8963,1.33974,0.464381,-0.258901,0.0214842,-0.75558,-0.0183776,2.37061,0.773302,0.467089,-0.226819
1412746,1,-1.57083,-0.52317,3.67762e-05,-2.09593,1.56984,1.5702,0.785743,-1.5708,-0.523599,6.16779e-08,-2.09439,1.5708,1.5708,0.785398,-0.000104826,0.000254033,-3.09708e-05,-0.000617965,-0.000255047,-0.000132569,-0.0013891,0,0,0,0,0,0,0,0.0494498,-9.88773,-0.432981,20.9201,1.34523,0.47079,-0.23876,0.0219386,-0.757548,-0.0182498,2.37146,0.773299,0.467012,-0.226962
1412747,1,-1.57083,-0.523172,3.84466e-05,-2.09593,1.56984,1.5702,0.785746,-1.5708,-0.523599,6.16779e-08,-2.09439,1.5708,1.5708,0.785398,0.00113654,-0.000480258,0.000536165,-0.000968789,0.00023687,0.000386338,-0.000417442,0,0,0,0,0,0,0,-0.00212494,-9.85995,-0.456784,20.9439,1.33425,0.457972,-0.252493,0.021999,-0.759976,-0.0187869,2.37296,0.773336,0.467006,-0.227089
1412748,1,-1.57083,-0.523169,3.51058e-05,-2.09593,1.56984,1.5702,0.785752,-1.5708,-0.523599,6.16779e-08,-2.09439,1.5708,1.5708,0.785398,0.000108081,0.000886254,-0.000756181,0.000467765,-4.55375e-05,2.01999e-05,0.00138322,0,0,0,0,0,0,0,0.0256461,-9.91153,-0.409177,20.8963,1.33974,0.464381,-0.297354,0.021632,-0.762219,-0.0198703,2.37456,0.773383,0.46707,-0.227154
1412749,1,-1.57083,-0.52317,3.51058e-05,-2.09593,1.56984,1.5702,0.785747,-1.5708,-0.523599,6.16779e-08,-2.09439,1.5708,1.5708,0.785398,7.20537e-05,3.40238e-05,-0.00050412,0.000311843,-3.03583e-05,-0.000461251,0.000210068,0,0,0,0,0,0,0,0.0256461,-9.88773,-0.409177,20.8963,1.33974,0.477198,-0.278127,0.021727,-0.764292,-0.0201368,2.37572,0.77338,0.467056,-0.227158
1412750,1,-1.57083,-0.523172,3.31569e-05,-2.09592,1.56984,1.5702,0.785747,-1.5708,-0.523599,6.16779e-08,-2.09439,1.5708,1.5708,0.785398,4.80358e-05,-0.000626931,-0.000985694,0.000764707,0.000183212,0.000404576,0.000614764,0,0,0,0,0,0,0,0.0256461,-9.85995,-0.381406,20.8725,1.33425,0.457972,-0.290945,0.0226551,-0.764795,-0.0190372,2.37564,0.773289,0.466927,-0.22714
1412751,1,-1.57083,-0.523169,3.67762e-05,-2.09593,1.56984,1.5702,0.785751,-1.5708,-0.523599,6.16779e-08,-2.09439,1.5708,1.5708,0.785398,3.20239e-05,0.000788472,0.000549296,-0.000603819,-0.00048821,-0.00044236,0.000647201,0,0,0,0,0,0,0,0.0256461,-9.91153,-0.432981,20.9201,1.35072,0.477198,-0.297354,0.0237756,-0.764013,-0.017595,2.37482,0.773164,0.466783,-0.227133
1412752,1,-1.57083,-0.523172,3.51058e-05,-2.09593,1.56984,1.5702,0.785748,-1.5708,-0.523599,6.16779e-08,-2.09439,1.5708,1.5708,0.785398,2.13492e-05,-0.000680778,-0.000190614,0.000154266,-0.000122023,0.000179812,-0.000755327,0,0,0,0,0,0,0,0.0256461,-9.85995,-0.409177,20.8963,1.34523,0.464381,-0.26531,0.0244111,-0.763661,-0.0169179,2.37441,0.773083,0.466708,-0.227158
1412753,1,-1.57083,-0.52317,3.51058e-05,-2.09592,1.56984,1.5702,0.785751,-1.5708,-0.523599,6.16779e-08,-2.09439,1.5708,1.5708,0.785398,-0.000542579,0.000195762,-0.000127076,0.000659656,0.000122102,0.000119874,0.000208525,0,0,0,0,0,0,0,0.0494498,-9.88773,-0.409177,20.8725,1.33974,0.464381,-0.284536,0.0248469,-0.762828,-0.0165747,2.37379,0.773023,0.466671,-0.227222
1412754,1,-1.57084,-0.523169,3.67762e-05,-2.09592,1.56984,1.5702,0.785747,-1.5708,-0.523599,6.16779e-08,-2.09439,1.5708,1.5708,0.785398,-0.00156815,0.00068732,0.000472094,0.000439771,-0.000122049,0.000317275,-9.8342e-05,0,0,0,0,0,0,0,0.101024,-9.91153,-0.432981,20.8725,1.34523,0.457972,-0.278127,0.025679,-0.761876,-0.0157648,2.37282,0.77296,0.466575,-0.22731
1412755,1,-1.57083,-0.523172,3.31569e-05,-2.09593,1.56984,1.5702,0.785742,-1.5708,-0.523599,6.16779e-08,-2.09439,1.5708,1.5708,0.785398,0.000160996,-0.000748213,-0.000891696,-0.00137726,-0.000284817,-2.58422e-05,-0.00125236,0,0,0,0,0,0,0,0.0494498,-9.85995,-0.381406,20.9439,1.35072,0.464381,-0.246084,0.0269544,-0.7619,-0.0144672,2.37243,0.772928,0.466404,-0.227415
1412756,1,-1.57083,-0.523169,3.51058e-05,-2.09593,1.56984,1.5702,0.785746,-1.5708,-0.523599,6.16779e-08,-2.09439,1.5708,1.5708,0.785398,0.00131376,0.000707617,5.51498e-05,-0.00091817,-0.000189878,-1.72281e-05,-0.000597545,0,0,0,0,0,0,0,-0.00212494,-9.91153,-0.409177,20.9439,1.35072,0.464381,-0.252493,0.0279619,-0.762914,-0.013503,2.37321,0.772967,0.466271,-0.227519
1412757,1,-1.57083,-0.52317,3.31569e-05,-2.09592,1.56984,1.5702,0.785746,-1.5708,-0.523599,6.16779e-08,-2.09439,1.5708,1.5708,0.785398,-0.000330588,-8.5067e-05,-0.000612847,0.00105832,-0.000126585,0.000225874,-0.000635722,0,0,0,0,0,0,0,0.0494498,-9.88773,-0.381406,20.8725,1.35072,0.457972,-0.246084,0.0282816,-0.764551,-0.0133736,2.37447,0.773061,0.466229,-0.227583
1412758,1,-1.57083,-0.523172,3.67762e-05,-2.09593,1.56984,1.5702,0.785744,-1.5708,-0.523599,6.16779e-08,-2.09439,1.5708,1.5708,0.785398,0.000986034,-0.000706325,0.000797861,-0.000964888,0.00011906,-0.000324136,-0.000186456,0,0,0,0,0,0,0,-0.00212494,-9.85995,-0.432981,20.9439,1.34523,0.47079,-0.252493,0.0280823,-0.764977,-0.0139219,2.37484,0.773161,0.466265,-0.227575
1412759,1,-1.57083,-0.523172,3.67762e-05,-2.09592,1.56983,1.5702,0.785745,-1.5708,-0.523599,6.16779e-08,-2.09439,1.5708,1.5708,0.785398,-0.00054907,-0.000470884,0.000531907,0.00102718,0.000282824,-0.00021609,0.000587773,0,0,0,0,0,0,0,0.0494498,-9.85995,-0.432981,20.8725,1.33974,0.47079,-0.271719,0.0271626,-0.763268,-0.0155559,2.37409,0.773269,0.466426,-0.227485
1412760,1,-1.57083,-0.523169,3.31569e-05,-2.09593,1.56984,1.5702,0.785749,-1.5708,-0.523599,6.16779e-08,-2.09439,1.5708,1.5708,0.785398,0.000190765,0.000892504,-0.000851821,-0.000428839,0.000392,-0.00014406,0.000629208,0,0,0,0,0,0,0,0.0256461,-9.91153,-0.381406,20.9201,1.33425,0.47079,-0.278127,0.026285,-0.761275,-0.0171371,2.37303,0.773371,0.46658,-0.227328
1412761,1,-1.57083,-0.52317,3.51058e-05,-2.09593,1.56984,1.5702,0.785751,-1.5708,-0.523599,6.16779e-08,-2.09439,1.5708,1.5708,0.785398,0.000127177,3.81904e-05,8.17333e-05,-0.000285893,5.78828e-05,-9.60402e-05,0.00089419,0,0,0,0,0,0,0,0.0256461,-9.88773,-0.409177,20.9201,1.33974,0.47079,-0.290945,0.0261493,-0.761237,-0.0175242,2.37287,0.773468,0.466603,-0.22714
1412762,1,-1.57083,-0.523169,3.67762e-05,-2.09592,1.56984,1.5702,0.785748,-1.5708,-0.523599,6.16779e-08,-2.09439,1.5708,1.5708,0.785398,0.000734398,0.000582272,0.000611301,0.000923029,-0.000368313,0.000410691,0.000358767,0,0,0,0,0,0,0,-0.00212494,-9.91153,-0.432981,20.8725,1.35072,0.457972,-0.284536,0.0258925,-0.762439,-0.0180076,2.37329,0.773574,0.466632,-0.226959
1412763,1,-1.57083,-0.523169,3.51058e-05,-2.09593,1.56984,1.5702,0.785747,-1.5708,-0.523599,6.16779e-08,-2.09439,1.5708,1.5708,0.785398,-0.000160015,0.000388181,-0.000149278,-0.000498271,0.00036481,3.64351e-05,0.000476537,0,0,0,0,0,0,0,0.0256461,-9.91153,-0.409177,20.9201,1.33425,0.464381,-0.290945,0.025186,-0.763896,-0.0191193,2.37364,0.773682,0.466719,-0.226813
1412764,1,-1.57083,-0.52317,3.84466e-05,-2.09593,1.56984,1.5702,0.785748,-1.5708,-0.523599,6.16779e-08,-2.09439,1.5708,1.5708,0.785398,-0.000663489,-0.000298024,0.00101411,-0.000332181,0.000243207,0.000499008,0.000792409,0,0,0,0,0,0,0,0.0494498,-9.88773,-0.456784,20.9201,1.33425,0.451564,-0.303762,0.024607,-0.765516,-0.0200923,2.37421,0.773791,0.466776,-0.226724
1412765,1,-1.57083,-0.52317,3.67762e-05,-2.09593,1.56984,1.5702,0.785742,-1.5708,-0.523599,6.16779e-08,-2.09439,1.5708,1.5708,0.785398,-0.000999138,-0.000198683,0.000119258,0.000335358,0.000162138,-0.000142046,-0.00160796,0,0,0,0,0,0,0,0.0732535,-9.88773,-0.432981,20.8963,1.33425,0.464381,-0.246084,0.0244488,-0.766117,-0.0206275,2.3745,0.773873,0.466773,-0.226705
