duration, success rate, q[0], q[1], q[2], q[3], q[4], q[5], q[6],q_d[0], q_d[1], q_d[2], q_d[3], q_d[4], q_d[5], q_d[6],dq[0], dq[1], dq[2], dq[3], dq[4], dq[5], dq[6],dq_d[0], dq_d[1], dq_d[2], dq_d[3], dq_d[4], dq_d[5], dq_d[6],tau_J[0], tau_J[1], tau_J[2], tau_J[3], tau_J[4], tau_J[5], tau_J[6],tau_ext_hat_filtered[0], tau_ext_hat_filtered[1], tau_ext_hat_filtered[2], tau_ext_hat_filtered[3], tau_ext_hat_filtered[4], tau_ext_hat_filtered[5], tau_ext_hat_filtered[6]
3623748,0,-1.57085,-0.522794,-0.000370696,-2.09597,-1.57081,1.57157,0.785844,-1.5708,-0.523599,-4.63595e-08,-2.0944,-1.5708,1.5708,0.785399,-0.000156458,-0.000424942,-8.98262e-05,6.9665e-05,-0.000350747,0.000241898,0.000679023,0,0,0,0,0,0,0,-0.0497324,-10.2408,0.606448,21.0431,-0.735762,-0.604955,-0.252493,-0.0295417,-1.12932,0.420917,2.51774,-0.182123,-0.597115,-0.279088
3623749,1,-1.57085,-0.52279,-0.000369433,-2.09597,-1.57081,1.57157,0.785842,-1.5708,-0.523599,-4.63595e-08,-2.0944,-1.5708,1.5708,0.785399,-0.000661118,0.000923131,0.00058973,-0.000603171,-0.000233832,-7.60933e-05,-5.59444e-05,0,0,0,0,0,0,0,-0.0259286,-10.2924,0.578677,21.0709,-0.735762,-0.598546,-0.23876,-0.0295144,-1.13096,0.421577,2.51886,-0.18214,-0.597088,-0.278982
3623750,1,-1.57085,-0.522792,-0.000369661,-2.09596,-1.57081,1.57157,0.785844,-1.5708,-0.523599,-4.63595e-08,-2.0944,-1.5708,1.5708,0.785399,-0.000440745,-3.41933e-05,0.000393153,0.0002475,0.000251013,0.00018663,0.000708689,0,0,0,0,0,0,0,-0.0259286,-10.2646,0.578677,21.0431,-0.746748,-0.604955,-0.258901,-0.0297054,-1.13354,0.421827,2.52031,-0.182159,-0.597113,-0.278925
3623751,1,-1.57085,-0.522794,-0.000371686,-2.09597,-1.57081,1.57157,0.785841,-1.5708,-0.523599,-4.63595e-08,-2.0944,-1.5708,1.5708,0.785399,0.000262982,-0.000579607,-0.000387512,-0.00104143,0.000370793,-0.000350298,-0.000510885,0,0,0,0,0,0,0,-0.0497324,-10.2408,0.606448,21.0947,-0.752241,-0.592137,-0.232351,-0.0299963,-1.13573,0.421872,2.52159,-0.182159,-0.597153,-0.278926
3623752,1,-1.57085,-0.522792,-0.000369581,-2.09596,-1.57081,1.57157,0.785839,-1.5708,-0.523599,-4.63595e-08,-2.0944,-1.5708,1.5708,0.785399,-0.000938303,0.000170407,-0.000258341,0.00106895,4.37447e-05,3.82705e-06,-0.00105267,0,0,0,0,0,0,0,-0.00212494,-10.2646,0.606448,21.0193,-0.746748,-0.598546,-0.213125,-0.0299368,-1.13646,0.422417,2.52217,-0.182114,-0.597124,-0.278987
3623753,1,-1.57085,-0.522792,-0.00037101,-2.09596,-1.57081,1.57157,0.785845,-1.5708,-0.523599,-4.63595e-08,-2.0944,-1.5708,1.5708,0.785399,0.0011377,0.000113605,-0.000172227,0.000712636,-0.000377738,0.00023991,0.000247658,0,0,0,0,0,0,0,-0.0775034,-10.2646,0.606448,21.0193,-0.735762,-0.604955,-0.23876,-0.0296704,-1.13616,0.423282,2.52175,-0.182022,-0.597058,-0.279081
3623754,1,-1.57085,-0.52279,-0.000369538,-2.09597,-1.57081,1.57157,0.785843,-1.5708,-0.523599,-4.63595e-08,-2.0944,-1.5708,1.5708,0.785399,-0.000447957,0.00072535,0.000534796,-0.000731335,0.000358526,-7.74187e-05,0.000165105,0,0,0,0,0,0,0,-0.0259286,-10.2924,0.578677,21.0709,-0.752241,-0.598546,-0.23876,-0.0299382,-1.13626,0.423432,2.52119,-0.18194,-0.597087,-0.279172
3623755,1,-1.57085,-0.522792,-0.000371185,-2.09597,-1.57081,1.57157,0.785838,-1.5708,-0.523599,-4.63595e-08,-2.0944,-1.5708,1.5708,0.785399,-0.00085545,-0.000166047,-0.000849895,0.000162057,-0.000167884,-5.16125e-05,-0.00131408,0,0,0,0,0,0,0,-0.00212494,-10.2646,0.630252,21.0431,-0.741255,-0.598546,-0.200308,-0.0301962,-1.13752,0.423579,2.52144,-0.181893,-0.597132,-0.279248
3623756,1,-1.57085,-0.522792,-0.000372658,-2.09597,-1.57081,1.57157,0.785843,-1.5708,-0.523599,-4.63595e-08,-2.0944,-1.5708,1.5708,0.785399,0.00119294,-0.000110698,-0.000566597,0.000108038,9.15282e-05,-3.44083e-05,-0.000163979,0,0,0,0,0,0,0,-0.0775034,-10.2646,0.630252,21.0431,-0.746748,-0.598546,-0.219534,-0.0298352,-1.13842,0.424631,2.52167,-0.181831,-0.597079,-0.279308
3623757,1,-1.57085,-0.52279,-0.000369348,-2.09597,-1.57081,1.57157,0.785842,-1.5708,-0.523599,-4.63595e-08,-2.0944,-1.5708,1.5708,0.785399,0.000145678,0.000575815,0.000179081,-0.0011344,6.10188e-05,-2.29389e-05,-0.000821396,0,0,0,0,0,0,0,-0.0497324,-10.2924,0.606448,21.0947,-0.746748,-0.598546,-0.200308,-0.0297398,-1.13917,0.42544,2.52198,-0.181782,-0.597062,-0.279323
