duration, success rate, q[0], q[1], q[2], q[3], q[4], q[5], q[6],q_d[0], q_d[1], q_d[2], q_d[3], q_d[4], q_d[5], q_d[6],dq[0], dq[1], dq[2], dq[3], dq[4], dq[5], dq[6],dq_d[0], dq_d[1], dq_d[2], dq_d[3], dq_d[4], dq_d[5], dq_d[6],tau_J[0], tau_J[1], tau_J[2], tau_J[3], tau_J[4], tau_J[5], tau_J[6],tau_ext_hat_filtered[0], tau_ext_hat_filtered[1], tau_ext_hat_filtered[2], tau_ext_hat_filtered[3], tau_ext_hat_filtered[4], tau_ext_hat_filtered[5], tau_ext_hat_filtered[6]
2326445,0,-1.57086,-0.523165,-2.28787e-05,-2.09595,1.56981,1.57022,0.785731,-1.5708,-0.523599,7.90712e-08,-2.09439,1.5708,1.5708,0.785398,-0.000652223,0.0011329,-0.000325025,-0.00137905,-0.000515888,0.000238695,0.0012956,0,0,0,0,0,0,0,0.101024,-9.91153,-0.432981,20.9439,1.32784,0.438746,-0.278127,0.0772559,-0.735027,-0.0410327,2.36361,0.748443,0.444161,-0.196456
2326446,1,-1.57086,-0.523172,-2.14583e-05,-2.09595,1.56981,1.57022,0.785729,-1.5708,-0.523599,7.90712e-08,-2.09439,1.5708,1.5708,0.785398,-0.000434815,-0.00165759,-0.000216683,-0.000362555,-0.000343925,-7.82292e-05,0.000151654,0,0,0,0,0,0,0,0.101024,-9.80838,-0.432981,20.9201,1.32784,0.445155,-0.258901,0.0783141,-0.738009,-0.0398366,2.36494,0.748443,0.443951,-0.196366
2326447,1,-1.57086,-0.523168,-2.14449e-05,-2.09595,1.56981,1.57022,0.78573,-1.5708,-0.523599,7.90712e-08,-2.09439,1.5708,1.5708,0.785398,-0.000289877,-0.000455444,0.000412357,0.000871921,-2.58329e-05,-5.21528e-05,0.000338462,0,0,0,0,0,0,0,0.101024,-9.83615,-0.456784,20.8725,1.32234,0.445155,-0.26531,0.0794949,-0.737831,-0.0385126,2.36514,0.748424,0.443772,-0.196342
2326448,1,-1.57086,-0.523166,-2.15372e-05,-2.09595,1.56981,1.57022,0.785729,-1.5708,-0.523599,7.90712e-08,-2.09439,1.5708,1.5708,0.785398,0.000456363,0.000253183,-0.000281908,2.44685e-05,0.000389679,-3.47685e-05,-1.17179e-05,0,0,0,0,0,0,0,0.0732535,-9.85995,-0.432981,20.8963,1.31136,0.445155,-0.258901,0.0802147,-0.735199,-0.0378689,2.36393,0.748393,0.443698,-0.19639
2326449,1,-1.57086,-0.52317,-2.31416e-05,-2.09595,1.56981,1.57022,0.785726,-1.5708,-0.523599,7.90712e-08,-2.09439,1.5708,1.5708,0.785398,-0.000345372,-0.000388024,-0.000187938,1.63123e-05,5.63355e-05,0.000451539,-0.000991156,0,0,0,0,0,0,0,0.101024,-9.83615,-0.432981,20.8963,1.31685,0.432338,-0.232351,0.080687,-0.73312,-0.0375326,2.36286,0.748389,0.443659,-0.196509
2326450,1,-1.57086,-0.52317,-2.2006e-05,-2.09596,1.56981,1.57022,0.785725,-1.5708,-0.523599,7.90712e-08,-2.09439,1.5708,1.5708,0.785398,-0.000230248,-0.000258682,0.00043152,-0.00175236,3.7557e-05,6.3667e-05,-0.00113549,0,0,0,0,0,0,0,0.101024,-9.83615,-0.456784,20.9717,1.31685,0.438746,-0.219534,0.0811561,-0.732065,-0.0372315,2.36269,0.748431,0.443612,-0.196678
2326451,1,-1.57086,-0.523169,-2.00538e-05,-2.09595,1.56981,1.57022,0.785725,-1.5708,-0.523599,7.90712e-08,-2.09439,1.5708,1.5708,0.785398,0.000496115,0.000384357,0.00028768,0.00115181,-0.000381863,-0.000194914,-0.000756992,0,0,0,0,0,0,0,0.0732535,-9.85995,-0.456784,20.8725,1.32784,0.445155,-0.219534,0.0812195,-0.732054,-0.0376169,2.36338,0.748526,0.44361,-0.19685
2326452,1,-1.57086,-0.523165,-2.46927e-05,-2.09595,1.56981,1.57022,0.785725,-1.5708,-0.523599,7.90712e-08,-2.09439,1.5708,1.5708,0.785398,-0.00031887,0.000905852,-0.00157145,0.00021106,0.000152326,0.000107416,-0.000267303,0,0,0,0,0,0,0,0.101024,-9.88773,-0.381406,20.8963,1.31685,0.438746,-0.225942,0.0813258,-0.733064,-0.0378626,2.36416,0.748614,0.443574,-0.196973
2326453,1,-1.57086,-0.523172,-2.29871e-05,-2.09595,1.56981,1.57022,0.785725,-1.5708,-0.523599,7.90712e-08,-2.09439,1.5708,1.5708,0.785398,0.000437034,-0.00125214,0.000158792,0.000140707,-0.000305351,-0.000403107,-0.000178202,0,0,0,0,0,0,0,0.0732535,-9.80838,-0.432981,20.8963,1.32784,0.451564,-0.225942,0.0820876,-0.733875,-0.0369659,2.36443,0.748655,0.443433,-0.197024
2326454,1,-1.57086,-0.52317,-2.14944e-05,-2.09595,1.56981,1.57022,0.785727,-1.5708,-0.523599,7.90712e-08,-2.09439,1.5708,1.5708,0.785398,-0.000358258,-0.000185145,0.000105861,-0.000463008,0.000203334,-3.13792e-05,0.000355917,0,0,0,0,0,0,0,0.101024,-9.83615,-0.432981,20.9201,1.31685,0.445155,-0.23876,0.0827207,-0.732922,-0.0362151,2.36402,0.748686,0.443338,-0.196999
